cudnn_version,batch_size,in_channels,out_channels,h,w,kW,kH,stride_w,stride_h,pad_w,pad_h,outpad_w,outpad_h,dilation_w,dilation_h,groups,cudnn_deterministic,cudnn_benchmark,cudnn_allow_tf32
8004,6,105,77,98,98,2,2,2,2,0,0,1,1,1,1,1,True,True,True
8004,7,18,18,145,145,1,1,2,2,0,0,1,0,1,1,18,True,True,False
8004,7,112,65,149,149,2,2,2,2,0,0,1,1,1,1,1,False,True,False
8004,8,114,31,131,131,3,1,2,2,0,0,0,0,1,1,1,True,True,False
8004,6,40,19,43,43,2,2,2,2,0,0,0,0,1,1,1,False,True,False
8004,4,35,35,19,19,3,3,2,2,0,0,0,0,1,1,35,False,False,False
8004,4,119,119,133,133,1,1,2,2,0,0,1,0,1,1,119,True,True,False
8004,4,38,19,186,186,1,3,2,2,0,0,1,1,1,1,1,False,False,True
8004,7,30,112,151,151,1,1,2,2,0,0,1,1,1,1,1,True,True,True
8004,8,71,127,20,20,1,1,2,2,0,0,1,0,1,1,1,True,False,False
8004,6,102,102,189,189,2,2,1,1,0,0,0,0,1,1,102,True,False,False
8004,8,53,74,84,84,2,2,2,2,0,0,0,1,1,1,1,False,False,True
8004,4,96,96,21,21,2,2,2,2,0,0,0,1,1,1,96,True,False,False
8004,7,35,35,199,199,1,1,2,2,0,0,0,0,1,1,35,False,False,True
8004,8,128,70,98,98,1,3,2,2,0,0,0,0,1,1,1,False,True,True
8004,4,92,106,94,94,3,1,2,2,0,0,1,1,1,1,1,True,True,True
8004,3,43,43,119,119,1,1,2,2,0,0,1,1,1,1,43,True,True,True
8004,7,83,60,139,139,3,1,1,1,0,0,0,0,1,1,1,True,False,True
8004,5,37,37,63,63,3,1,2,2,0,0,0,1,1,1,37,False,True,False
8004,3,125,116,138,138,3,3,2,2,0,0,0,1,1,1,1,False,True,True
8004,1,102,43,42,42,2,2,2,2,0,0,1,0,1,1,1,True,True,False
8004,3,83,83,157,157,3,1,2,2,0,0,1,0,1,1,83,True,True,True
8004,6,26,26,53,53,3,3,2,2,0,0,1,1,1,1,26,False,False,True
8004,8,68,68,27,27,2,2,2,2,0,0,1,1,1,1,68,False,True,True
8004,8,98,41,63,63,3,1,2,2,0,0,1,0,1,1,1,False,True,False
8004,7,61,61,160,160,1,3,2,2,0,0,1,0,1,1,61,False,False,False
8004,5,116,116,162,162,3,1,2,2,0,0,1,1,1,1,116,False,False,False
8004,4,99,118,16,16,3,3,1,1,0,0,0,0,1,1,1,True,True,False
8004,4,96,42,210,210,3,3,2,2,0,0,1,1,1,1,1,False,True,True
8004,2,68,26,203,203,1,1,2,2,0,0,0,0,1,1,1,True,True,False
8004,1,105,105,214,214,2,2,2,2,0,0,1,0,1,1,105,False,True,True
