cudnn_version,batch_size,in_channels,out_channels,h,w,kW,kH,stride_w,stride_h,pad_w,pad_h,outpad_w,outpad_h,dilation_w,dilation_h,groups,cudnn_deterministic,cudnn_benchmark,cudnn_allow_tf32
8004,4,112,112,194,194,3,1,2,2,0,0,0,1,1,1,112,False,True,True
8004,6,32,32,60,60,1,3,2,2,0,0,0,0,1,1,32,True,False,False
8004,1,87,102,113,113,3,1,2,2,0,0,1,0,1,1,1,False,False,True
8004,1,113,114,207,207,1,1,1,1,0,0,0,0,1,1,1,True,False,False
8004,5,57,118,138,138,3,1,2,2,0,0,1,0,1,1,1,True,True,True
8004,5,64,64,85,85,1,1,1,1,0,0,0,0,1,1,64,False,False,False
8004,5,77,77,105,105,1,1,2,2,0,0,1,1,1,1,77,True,False,False
8004,3,97,97,118,118,3,3,2,2,0,0,1,0,1,1,97,True,False,True
8004,3,20,20,32,32,1,1,2,2,0,0,1,1,1,1,20,False,True,True
8004,4,25,82,142,142,1,3,2,2,0,0,1,0,1,1,1,False,False,True
8004,2,58,58,181,181,3,1,2,2,0,0,1,0,1,1,58,False,True,False
8004,3,97,81,103,103,3,3,2,2,0,0,0,1,1,1,1,True,False,False
8004,4,42,109,136,136,1,3,1,1,0,0,0,0,1,1,1,True,False,False
8004,6,42,42,75,75,1,1,1,1,0,0,0,0,1,1,42,True,False,True
8004,2,66,121,66,66,2,2,2,2,0,0,0,1,1,1,1,False,True,True
8004,1,111,97,51,51,1,1,1,1,0,0,0,0,1,1,1,False,False,False
8004,1,56,51,45,45,2,2,1,1,0,0,0,0,1,1,1,False,False,True
8004,2,25,25,112,112,1,1,2,2,0,0,0,1,1,1,25,True,True,True
8004,2,64,128,93,93,3,3,1,1,0,0,0,0,1,1,1,False,False,True
8004,5,128,128,51,51,3,1,2,2,0,0,1,1,1,1,128,True,False,True
8004,1,73,73,168,168,2,2,1,1,0,0,0,0,1,1,73,False,True,True
8004,4,97,100,39,39,1,3,2,2,0,0,0,0,1,1,1,False,False,True
8004,6,48,48,173,173,2,2,2,2,0,0,1,1,1,1,48,False,False,False
8004,1,121,121,61,61,2,2,2,2,0,0,1,0,1,1,121,False,True,False
8004,3,25,25,127,127,3,1,2,2,0,0,0,0,1,1,25,False,True,False
8004,4,98,98,92,92,1,3,2,2,0,0,1,1,1,1,98,True,True,False
8004,1,27,27,155,155,2,2,2,2,0,0,0,1,1,1,27,True,True,True
8004,4,32,96,224,224,2,2,2,2,0,0,1,1,1,1,1,True,False,False
8004,5,60,60,28,28,3,1,2,2,0,0,0,1,1,1,60,True,False,False
8004,3,37,37,102,102,1,3,2,2,0,0,0,0,1,1,37,True,False,True
8004,2,55,78,122,122,3,3,2,2,0,0,0,0,1,1,1,True,False,True
8004,1,102,102,197,197,2,2,2,2,0,0,1,1,1,1,102,False,False,False
8004,4,127,127,155,155,1,1,2,2,0,0,0,0,1,1,127,True,False,True
8004,3,88,85,86,86,1,3,1,1,0,0,0,0,1,1,1,False,True,False
8004,7,20,20,43,43,1,1,2,2,0,0,0,1,1,1,20,True,True,True
8004,3,21,117,59,59,3,3,1,1,0,0,0,0,1,1,1,True,True,True
8004,8,19,67,212,212,1,1,2,2,0,0,0,0,1,1,1,True,True,True
8004,6,93,75,194,194,2,2,1,1,0,0,0,0,1,1,1,True,False,True
8004,2,61,61,66,66,1,1,2,2,0,0,1,1,1,1,61,False,True,True
8004,8,62,50,95,95,3,1,2,2,0,0,1,0,1,1,1,False,False,False
8004,5,18,78,18,18,2,2,2,2,0,0,0,1,1,1,1,True,True,False
8004,2,116,112,54,54,2,2,2,2,0,0,1,0,1,1,1,True,True,True
8004,8,121,121,128,128,1,1,2,2,0,0,1,1,1,1,121,True,False,True
8004,2,103,103,181,181,3,3,2,2,0,0,1,0,1,1,103,True,False,False
8004,8,113,113,75,75,2,2,2,2,0,0,1,0,1,1,113,True,False,False
8004,2,20,48,153,153,1,1,2,2,0,0,1,0,1,1,1,False,True,True
8004,7,57,57,198,198,2,2,2,2,0,0,0,0,1,1,57,False,True,True
8004,7,23,102,207,207,3,1,2,2,0,0,0,1,1,1,1,True,False,False
8004,2,61,61,160,160,1,1,2,2,0,0,0,0,1,1,61,False,True,True
8004,5,33,33,40,40,1,1,2,2,0,0,0,0,1,1,33,False,True,False
