cudnn_version,batch_size,in_channels,out_channels,h,w,kW,kH,stride_w,stride_h,pad_w,pad_h,outpad_w,outpad_h,dilation_w,dilation_h,groups,cudnn_deterministic,cudnn_benchmark,cudnn_allow_tf32
8004,3,29,29,171,171,3,1,1,1,0,0,0,0,1,1,29,True,False,True
8004,8,74,74,217,217,3,3,2,2,0,0,1,0,1,1,74,True,False,True
8004,8,115,115,59,59,3,1,2,2,0,0,1,0,1,1,115,True,True,False
8004,8,98,29,50,50,3,3,1,1,0,0,0,0,1,1,1,False,True,True
8004,2,87,87,81,81,3,3,2,2,0,0,0,0,1,1,87,True,False,True
8004,2,78,100,70,70,3,3,2,2,0,0,1,0,1,1,1,False,False,False
8004,4,63,56,19,19,1,1,2,2,0,0,1,0,1,1,1,False,False,False
8004,4,114,28,150,150,1,3,2,2,0,0,1,0,1,1,1,False,True,False
8004,5,113,19,66,66,1,3,2,2,0,0,1,0,1,1,1,True,True,True
8004,4,116,57,127,127,2,2,2,2,0,0,0,0,1,1,1,False,False,False
8004,7,121,49,127,127,3,3,2,2,0,0,1,1,1,1,1,False,True,True
8004,5,96,96,80,80,3,3,2,2,0,0,1,0,1,1,96,False,True,True
8004,4,98,38,189,189,1,3,1,1,0,0,0,0,1,1,1,True,False,True
8004,2,77,65,63,63,1,3,1,1,0,0,0,0,1,1,1,True,True,True
8004,6,79,79,48,48,2,2,2,2,0,0,1,1,1,1,79,False,True,True
8004,6,83,83,108,108,3,3,2,2,0,0,0,1,1,1,83,False,False,True
8004,1,37,63,170,170,2,2,1,1,0,0,0,0,1,1,1,True,True,False
8004,4,34,34,34,34,2,2,2,2,0,0,0,0,1,1,34,False,True,False
8004,4,84,25,96,96,2,2,2,2,0,0,1,1,1,1,1,False,True,True
8004,1,71,53,46,46,1,3,2,2,0,0,0,1,1,1,1,True,False,False
8004,1,91,91,180,180,1,3,2,2,0,0,1,0,1,1,91,True,False,False
8004,7,75,78,114,114,2,2,2,2,0,0,0,1,1,1,1,False,False,True
8004,5,46,46,110,110,3,3,1,1,0,0,0,0,1,1,46,False,True,False
8004,2,75,75,177,177,3,3,2,2,0,0,1,1,1,1,75,False,True,True
8004,8,88,88,189,189,2,2,2,2,0,0,1,0,1,1,88,False,False,True
8004,4,34,16,167,167,1,1,2,2,0,0,1,1,1,1,1,False,False,True
8004,6,100,92,24,24,2,2,2,2,0,0,0,0,1,1,1,True,True,True
8004,4,36,36,79,79,3,1,2,2,0,0,0,1,1,1,36,False,True,False
8004,3,63,103,146,146,1,3,1,1,0,0,0,0,1,1,1,True,False,False
8004,3,64,64,63,63,3,1,1,1,0,0,0,0,1,1,64,False,False,False
8004,4,84,109,213,213,3,3,1,1,0,0,0,0,1,1,1,False,True,True
8004,8,37,53,56,56,3,1,2,2,0,0,1,0,1,1,1,False,False,True
8004,1,111,36,56,56,3,1,2,2,0,0,1,0,1,1,1,False,True,False
8004,3,114,106,200,200,2,2,2,2,0,0,0,1,1,1,1,False,False,False
8004,8,117,62,47,47,1,3,2,2,0,0,1,1,1,1,1,False,True,True
8004,5,106,106,187,187,2,2,1,1,0,0,0,0,1,1,106,False,True,True
8004,4,94,94,200,200,3,1,2,2,0,0,1,1,1,1,94,True,True,False
8004,8,86,86,219,219,1,3,1,1,0,0,0,0,1,1,86,True,True,True
8004,8,104,126,58,58,3,3,2,2,0,0,0,1,1,1,1,True,True,False
8004,2,22,57,198,198,2,2,2,2,0,0,0,0,1,1,1,False,False,True
8004,6,114,119,159,159,1,1,2,2,0,0,0,1,1,1,1,True,True,True
8004,2,30,83,117,117,3,3,2,2,0,0,1,1,1,1,1,False,True,True
8004,2,77,64,130,130,3,3,2,2,0,0,0,1,1,1,1,False,False,False
8004,4,63,128,208,208,1,1,2,2,0,0,1,1,1,1,1,False,True,False
8004,8,99,29,36,36,2,2,2,2,0,0,0,0,1,1,1,True,False,False
