cudnn_version,batch_size,in_channels,out_channels,h,w,kW,kH,stride_w,stride_h,pad_w,pad_h,outpad_w,outpad_h,dilation_w,dilation_h,groups,cudnn_deterministic,cudnn_benchmark,cudnn_allow_tf32
8004,2,69,69,32,32,3,3,2,2,0,0,1,1,1,1,69,False,False,False
8004,3,101,101,210,210,3,1,2,2,0,0,1,0,1,1,101,False,True,True
8004,4,50,50,158,158,2,2,2,2,0,0,0,0,1,1,50,True,False,False
8004,1,80,80,29,29,3,1,2,2,0,0,0,0,1,1,80,False,False,True
8004,7,66,66,71,71,3,3,2,2,0,0,1,0,1,1,66,False,True,True
8004,7,89,73,106,106,3,3,1,1,0,0,0,0,1,1,1,False,False,True
8004,6,103,103,33,33,3,1,2,2,0,0,0,0,1,1,103,False,False,False
8004,8,64,76,82,82,1,1,2,2,0,0,1,1,1,1,1,False,False,True
8004,6,24,123,60,60,3,1,2,2,0,0,1,0,1,1,1,False,False,False
8004,8,64,26,165,165,3,1,1,1,0,0,0,0,1,1,1,True,True,True
8004,8,22,22,130,130,3,3,1,1,0,0,0,0,1,1,22,True,False,False
8004,4,52,52,209,209,1,1,2,2,0,0,1,1,1,1,52,True,True,False
8004,3,37,83,189,189,1,1,2,2,0,0,0,0,1,1,1,False,False,False
8004,1,53,53,217,217,2,2,2,2,0,0,1,1,1,1,53,False,False,True
8004,3,39,39,21,21,3,1,2,2,0,0,0,0,1,1,39,False,True,False
8004,2,25,113,48,48,1,3,1,1,0,0,0,0,1,1,1,False,False,True
8004,3,45,45,213,213,3,1,2,2,0,0,0,0,1,1,45,True,False,False
8004,6,82,82,149,149,1,1,2,2,0,0,0,1,1,1,82,False,False,False
8004,1,97,97,96,96,2,2,2,2,0,0,0,1,1,1,97,False,True,True
8004,8,83,83,120,120,3,1,2,2,0,0,0,0,1,1,83,True,True,True
8004,4,97,97,179,179,3,1,2,2,0,0,0,1,1,1,97,True,False,True
8004,5,21,16,99,99,1,1,2,2,0,0,0,0,1,1,1,False,False,False
8004,6,27,27,33,33,3,3,2,2,0,0,1,1,1,1,27,False,True,True
8004,4,84,84,102,102,1,3,2,2,0,0,1,1,1,1,84,False,False,False
8004,6,26,17,79,79,3,3,2,2,0,0,0,1,1,1,1,False,False,True
8004,7,50,93,166,166,1,1,2,2,0,0,1,1,1,1,1,False,True,True
8004,8,67,67,214,214,1,1,2,2,0,0,0,0,1,1,67,False,True,True
8004,5,47,32,55,55,3,1,2,2,0,0,0,0,1,1,1,False,False,True
8004,8,114,30,173,173,1,3,1,1,0,0,0,0,1,1,1,False,True,False
8004,5,92,92,49,49,1,1,2,2,0,0,1,1,1,1,92,False,False,True
8004,4,108,108,20,20,3,1,2,2,0,0,0,1,1,1,108,False,False,True
8004,6,74,74,105,105,2,2,2,2,0,0,0,1,1,1,74,False,False,True
8004,4,108,108,101,101,3,3,2,2,0,0,1,1,1,1,108,True,False,False
8004,8,49,33,193,193,2,2,2,2,0,0,1,1,1,1,1,True,True,True
8004,6,85,85,192,192,1,1,2,2,0,0,0,0,1,1,85,True,True,False
8004,5,100,55,132,132,1,3,2,2,0,0,1,0,1,1,1,True,False,True
8004,1,44,44,175,175,3,1,2,2,0,0,0,0,1,1,44,False,True,True
8004,4,78,78,221,221,1,3,1,1,0,0,0,0,1,1,78,True,True,True
8004,8,66,66,47,47,2,2,2,2,0,0,0,0,1,1,66,False,True,False
8004,6,18,18,31,31,2,2,2,2,0,0,0,0,1,1,18,True,True,True
