
1.9.0a0+gitdb68c0a

batch_size, matrix_size, dtype     cpu_time(us), gpu_time(us)
[] 2 torch.float32                  14.703   76.892
[] 4 torch.float32                  7.776   64.894
[] 8 torch.float32                  8.841   64.808
[] 16 torch.float32                 10.986   55.884
[] 32 torch.float32                 15.686   55.767
[] 64 torch.float32                 38.803   55.759
[] 128 torch.float32                558.759   80.568
[] 256 torch.float32                620.236   182.502
[] 512 torch.float32                2093.381   492.496
[] 1024 torch.float32               8482.050   1380.972
[] 2048 torch.float32               51420.178   5705.754
[1] 2 torch.float32                 10.612   66.447
[1] 4 torch.float32                 7.325   65.653
[1] 8 torch.float32                 11.747   65.441
[1] 16 torch.float32                13.888   57.776
[1] 32 torch.float32                19.307   56.903
[1] 64 torch.float32                42.357   57.518
[1] 128 torch.float32               555.862   70.121
[1] 256 torch.float32               600.742   155.342
[1] 512 torch.float32               2019.604   420.573
[1] 1024 torch.float32              8263.086   1381.873
[1] 2048 torch.float32              47206.140   5724.530
[2] 2 torch.float32                 8.159   77.747
[2] 4 torch.float32                 9.058   76.982
[2] 8 torch.float32                 11.358   77.716
[2] 16 torch.float32                14.219   65.566
[2] 32 torch.float32                24.266   66.390
[2] 64 torch.float32                65.637   66.123
[2] 128 torch.float32               1065.778   132.289
[2] 256 torch.float32               1045.409   307.313
[2] 512 torch.float32               3498.454   845.240
[2] 1024 torch.float32              15534.284   2773.420
[2] 2048 torch.float32              102576.581   11455.015
[4] 2 torch.float32                 15.728   122.969
[4] 4 torch.float32                 17.468   123.819
[4] 8 torch.float32                 20.057   123.028
[4] 16 torch.float32                27.225   103.047
[4] 32 torch.float32                46.511   100.905
[4] 64 torch.float32                129.309   126.072
[4] 128 torch.float32               2022.921   258.962
[4] 256 torch.float32               2102.820   605.692
[4] 512 torch.float32               7294.796   1717.727
[4] 1024 torch.float32              33582.896   5537.506
[4] 2048 torch.float32              210588.518   22901.827
[8] 2 torch.float32                 18.020   169.355
[8] 4 torch.float32                 20.685   169.652
[8] 8 torch.float32                 25.886   179.211
[8] 16 torch.float32                39.202   154.957
[8] 32 torch.float32                75.548   137.234
[8] 64 torch.float32                239.265   246.226
[8] 128 torch.float32               3764.504   507.374
[8] 256 torch.float32               4143.829   1204.596
[8] 512 torch.float32               14941.769   3404.727
[8] 1024 torch.float32              71552.573   11053.927
[16] 2 torch.float32                13.319   220.683
[16] 4 torch.float32                19.376   225.834
[16] 8 torch.float32                26.417   211.788
[16] 16 torch.float32               50.063   177.336
[16] 32 torch.float32               124.761   263.164
[16] 64 torch.float32               475.700   486.412
[16] 128 torch.float32              7713.460   1008.052
[16] 256 torch.float32              8555.269   2431.139
[16] 512 torch.float32              31343.695   6805.238
[32] 2 torch.float32                18.116   373.130
[32] 4 torch.float32                24.710   372.332
[32] 8 torch.float32                48.054   414.050
[32] 16 torch.float32               89.856   346.395
[32] 32 torch.float32               237.721   516.621
[32] 64 torch.float32               908.940   959.550
[32] 128 torch.float32              15181.162   2019.125
[32] 256 torch.float32              18362.274   4852.552
[64] 2 torch.float32                30.550   703.443
[64] 4 torch.float32                47.114   691.246
[64] 8 torch.float32                77.482   821.652
[64] 16 torch.float32               174.340   687.373
[64] 32 torch.float32               905.726   1025.785
[64] 64 torch.float32               2639.995   1914.380
[64] 128 torch.float32              29381.089   4070.494
[128] 2 torch.float32               50.658   1321.775
[128] 4 torch.float32               81.495   1316.086
[128] 8 torch.float32               151.637   1638.665
[128] 16 torch.float32              337.424   1368.642
[128] 32 torch.float32              1766.788   2047.691
[128] 64 torch.float32              3903.254   3829.501
[256] 2 torch.float32               86.279   2625.898
[256] 4 torch.float32               148.942   2584.133
[256] 8 torch.float32               289.384   3270.204
[256] 16 torch.float32              739.430   2730.703
[256] 32 torch.float32              2101.159   4089.252
[512] 2 torch.float32               166.769   5115.618
[512] 4 torch.float32               288.084   5103.813
[512] 8 torch.float32               569.791   6536.001
[512] 16 torch.float32              1465.020   5455.244
[1024] 2 torch.float32              324.122   10154.234
[1024] 4 torch.float32              567.412   10194.832
[1024] 8 torch.float32              1238.110   13073.860
