
1.9.0a0+git80a4a50

batch_size, matrix_size, dtype     cpu_time(us), gpu_time(us)
[] 2 torch.float32                  12.027   64.939
[] 4 torch.float32                  10.943   66.457
[] 8 torch.float32                  12.105   66.922
[] 16 torch.float32                 14.509   67.357
[] 32 torch.float32                 19.737   128.033
[] 64 torch.float32                 42.522   190.531
[] 128 torch.float32                594.295   391.827
[] 256 torch.float32                631.055   604.825
[] 512 torch.float32                1753.652   1175.750
[] 1024 torch.float32               8186.206   2768.680
[] 2048 torch.float32               52298.158   8539.976
[1] 2 torch.float32                 10.545   63.806
[1] 4 torch.float32                 10.775   64.700
[1] 8 torch.float32                 12.063   65.089
[1] 16 torch.float32                14.327   64.895
[1] 32 torch.float32                20.101   123.051
[1] 64 torch.float32                41.778   178.198
[1] 128 torch.float32               568.731   328.975
[1] 256 torch.float32               596.842   555.607
[1] 512 torch.float32               1846.876   1148.518
[1] 1024 torch.float32              8164.927   2739.757
[1] 2048 torch.float32              51370.443   8544.903
[2] 2 torch.float32                 11.127   65.908
[2] 4 torch.float32                 12.594   65.942
[2] 8 torch.float32                 13.611   66.253
[2] 16 torch.float32                17.405   66.223
[2] 32 torch.float32                28.074   125.701
[2] 64 torch.float32                66.558   186.210
[2] 128 torch.float32               1021.973   352.824
[2] 256 torch.float32               1059.966   618.408
[2] 512 torch.float32               3659.308   1323.143
[2] 1024 torch.float32              17382.661   3551.328
[2] 2048 torch.float32              114518.818   12911.903
[4] 2 torch.float32                 12.116   66.121
[4] 4 torch.float32                 13.291   65.792
[4] 8 torch.float32                 16.503   66.340
[4] 16 torch.float32                23.745   66.296
[4] 32 torch.float32                41.976   127.188
[4] 64 torch.float32                115.805   188.537
[4] 128 torch.float32               1999.166   338.644
[4] 256 torch.float32               2272.830   666.363
[4] 512 torch.float32               8010.986   1567.254
[4] 1024 torch.float32              33675.866   4889.673
[4] 2048 torch.float32              204700.081   21267.775
[8] 2 torch.float32                 13.720   66.671
[8] 4 torch.float32                 16.147   66.334
[8] 8 torch.float32                 21.400   67.027
[8] 16 torch.float32                33.727   66.868
[8] 32 torch.float32                70.124   128.984
[8] 64 torch.float32                218.942   197.680
[8] 128 torch.float32               3722.992   366.228
[8] 256 torch.float32               3445.162   784.078
[8] 512 torch.float32               14246.777   2153.456
[8] 1024 torch.float32              72875.535   7911.551
[16] 2 torch.float32                20.108   89.574
[16] 4 torch.float32                24.650   89.297
[16] 8 torch.float32                33.836   89.662
[16] 16 torch.float32               59.085   90.308
[16] 32 torch.float32               132.817   161.111
[16] 64 torch.float32               801.345   238.483
[16] 128 torch.float32              7801.675   455.502
[16] 256 torch.float32              8694.769   1011.628
[16] 512 torch.float32              32349.683   3376.542
[32] 2 torch.float32                21.609   70.606
[32] 4 torch.float32                25.147   69.709
[32] 8 torch.float32                47.636   70.466
[32] 16 torch.float32               98.020   72.432
[32] 32 torch.float32               242.140   141.580
[32] 64 torch.float32               1490.048   228.704
[32] 128 torch.float32              14428.989   493.543
[32] 256 torch.float32              16461.719   1533.135
[64] 2 torch.float32                32.296   92.443
[64] 4 torch.float32                49.495   91.659
[64] 8 torch.float32                85.913   92.256
[64] 16 torch.float32               181.713   91.975
[64] 32 torch.float32               546.881   168.283
[64] 64 torch.float32               1922.728   234.154
[64] 128 torch.float32              29680.920   672.592
[128] 2 torch.float32               49.299   71.013
[128] 4 torch.float32               78.431   70.969
[128] 8 torch.float32               149.668   71.536
[128] 16 torch.float32              333.687   74.242
[128] 32 torch.float32              1006.826   149.826
[128] 64 torch.float32              3506.858   280.595
[256] 2 torch.float32               90.791   72.678
[256] 4 torch.float32               149.208   72.993
[256] 8 torch.float32               290.653   72.818
[256] 16 torch.float32              729.399   75.500
[256] 32 torch.float32              2079.052   167.265
[512] 2 torch.float32               170.673   76.115
[512] 4 torch.float32               287.451   75.396
[512] 8 torch.float32               573.976   77.413
[512] 16 torch.float32              1459.061   82.357
[1024] 2 torch.float32              334.870   87.713
[1024] 4 torch.float32              565.445   87.669
[1024] 8 torch.float32              1240.937   93.281
