
1.9.0a0+git29cec7c

batch_size, matrix_size, dtype     cpu_time(us), gpu_time(us)
[] 2 torch.float32                  166.751   44.876
[] 4 torch.float32                  14.199   44.647
[] 8 torch.float32                  14.256   45.384
[] 16 torch.float32                 17.726   45.079
[] 32 torch.float32                 22.008   53.898
[] 64 torch.float32                 70.720   77.246
[] 128 torch.float32                210.257   122.961
[] 256 torch.float32                342.160   213.780
[] 512 torch.float32                1105.834   396.389
[] 1024 torch.float32               4024.479   1027.658
[] 2048 torch.float32               29073.299   2866.979
[1] 2 torch.float32                 17.226   49.818
[1] 4 torch.float32                 17.081   49.938
[1] 8 torch.float32                 18.842   50.026
[1] 16 torch.float32                21.275   49.798
[1] 32 torch.float32                26.360   50.294
[1] 64 torch.float32                59.795   74.153
[1] 128 torch.float32               191.315   111.419
[1] 256 torch.float32               315.719   193.673
[1] 512 torch.float32               527.442   387.703
[1] 1024 torch.float32              2236.570   1037.982
[1] 2048 torch.float32              12651.002   2883.768
[2] 2 torch.float32                 16.831   55.482
[2] 4 torch.float32                 16.716   55.149
[2] 8 torch.float32                 17.506   55.062
[2] 16 torch.float32                21.101   55.068
[2] 32 torch.float32                28.524   62.721
[2] 64 torch.float32                77.375   84.537
[2] 128 torch.float32               297.496   135.024
[2] 256 torch.float32               521.365   250.014
[2] 512 torch.float32               1598.421   564.944
[2] 1024 torch.float32              6219.385   1659.213
[2] 2048 torch.float32              40012.587   6029.224
[4] 2 torch.float32                 18.090   55.426
[4] 4 torch.float32                 21.400   55.792
[4] 8 torch.float32                 20.442   55.399
[4] 16 torch.float32                28.229   55.983
[4] 32 torch.float32                42.529   64.160
[4] 64 torch.float32                137.360   85.123
[4] 128 torch.float32               583.951   135.943
[4] 256 torch.float32               979.756   253.303
[4] 512 torch.float32               2742.286   653.256
[4] 1024 torch.float32              10081.830   2169.271
[8] 2 torch.float32                 23.891   59.720
[8] 4 torch.float32                 23.849   59.400
[8] 8 torch.float32                 27.287   57.610
[8] 16 torch.float32                35.224   57.226
[8] 32 torch.float32                63.435   65.566
[8] 64 torch.float32                183.948   87.408
[8] 128 torch.float32               846.840   137.033
[8] 256 torch.float32               1544.204   283.318
[8] 512 torch.float32               4224.291   825.495
[8] 1024 torch.float32              21504.675   3183.084
[16] 2 torch.float32                23.084   55.476
[16] 4 torch.float32                24.315   54.772
[16] 8 torch.float32                30.618   57.551
[16] 16 torch.float32               48.567   57.892
[16] 32 torch.float32               91.910   64.478
[16] 64 torch.float32               323.658   85.677
[16] 128 torch.float32              1341.902   141.259
[16] 256 torch.float32              2446.045   358.053
[16] 512 torch.float32              7133.423   1193.165
[32] 2 torch.float32                26.637   58.398
[32] 4 torch.float32                27.893   56.289
[32] 8 torch.float32                38.693   56.460
[32] 16 torch.float32               72.627   57.133
[32] 32 torch.float32               139.066   65.295
[32] 64 torch.float32               515.858   91.805
[32] 128 torch.float32              2710.525   168.658
[32] 256 torch.float32              4628.189   507.494
[32] 512 torch.float32              18827.291   1955.204
[64] 2 torch.float32                35.092   60.304
[64] 4 torch.float32                37.804   57.956
[64] 8 torch.float32                55.552   56.902
[64] 16 torch.float32               132.011   59.494
[64] 32 torch.float32               243.195   64.955
[64] 64 torch.float32               1048.934   93.381
[64] 128 torch.float32              6201.448   254.424
[64] 256 torch.float32              10290.796   874.258
[128] 2 torch.float32               49.268   60.600
[128] 4 torch.float32               54.197   56.717
[128] 8 torch.float32               123.600   57.168
[128] 16 torch.float32              218.310   58.094
[128] 32 torch.float32              371.875   71.715
[128] 64 torch.float32              1960.315   127.599
[128] 128 torch.float32             11133.779   444.566
[128] 256 torch.float32             24017.075   1519.374
[256] 2 torch.float32               77.413   56.883
[256] 4 torch.float32               88.081   57.020
[256] 8 torch.float32               160.654   57.039
[256] 16 torch.float32              358.368   61.771
[256] 32 torch.float32              655.063   81.611
[256] 64 torch.float32              3945.091   218.042
[256] 128 torch.float32             20847.642   747.677
[512] 2 torch.float32               187.004   76.611
[512] 4 torch.float32               200.417   58.587
[512] 8 torch.float32               358.144   65.459
[512] 16 torch.float32              628.021   74.518
[512] 32 torch.float32              1254.412   134.076
[512] 64 torch.float32              7750.514   454.936
[512] 128 torch.float32             52983.167   1382.968
[1024] 2 torch.float32              315.468   57.831
[1024] 4 torch.float32              302.045   65.851
[1024] 8 torch.float32              465.969   74.170
[1024] 16 torch.float32             1112.744   90.847
[1024] 32 torch.float32             2358.574   228.770
[1024] 64 torch.float32             14549.073   831.982
