
1.9.0a0+git3948ce2

batch_size, matrix_size, dtype     cpu_time(us), gpu_time(us)
[] 2 torch.float32                  206.735   43.274
[] 4 torch.float32                  14.042   43.120
[] 8 torch.float32                  15.231   43.688
[] 16 torch.float32                 17.363   44.925
[] 32 torch.float32                 22.341   52.098
[] 64 torch.float32                 57.448   75.674
[] 128 torch.float32                181.807   120.755
[] 256 torch.float32                335.406   218.886
[] 512 torch.float32                980.325   446.244
[] 1024 torch.float32               4017.303   1027.806
[] 2048 torch.float32               28989.214   2877.455
[1] 2 torch.float32                 16.053   48.676
[1] 4 torch.float32                 16.146   48.577
[1] 8 torch.float32                 16.990   48.357
[1] 16 torch.float32                18.630   48.988
[1] 32 torch.float32                23.012   49.260
[1] 64 torch.float32                49.570   72.438
[1] 128 torch.float32               149.957   110.153
[1] 256 torch.float32               333.872   191.205
[1] 512 torch.float32               556.333   386.291
[1] 1024 torch.float32              2077.819   1035.727
[1] 2048 torch.float32              11273.186   2887.653
[2] 2 torch.float32                 16.811   75.074
[2] 4 torch.float32                 16.468   75.297
[2] 8 torch.float32                 17.303   75.999
[2] 16 torch.float32                19.442   84.742
[2] 32 torch.float32                22.466   93.547
[2] 64 torch.float32                55.546   120.595
[2] 128 torch.float32               245.310   182.900
[2] 256 torch.float32               578.849   374.588
[2] 512 torch.float32               1589.254   1183.922
[2] 1024 torch.float32              6429.636   4393.322
[2] 2048 torch.float32              40620.950   7468.882
[4] 2 torch.float32                 21.574   76.656
[4] 4 torch.float32                 20.320   75.183
[4] 8 torch.float32                 23.221   77.455
[4] 16 torch.float32                29.128   84.240
[4] 32 torch.float32                42.975   95.069
[4] 64 torch.float32                147.607   124.631
[4] 128 torch.float32               587.690   192.106
[4] 256 torch.float32               914.129   394.497
[4] 512 torch.float32               2885.733   1311.259
[4] 1024 torch.float32              9762.999   4892.240
[8] 2 torch.float32                 17.601   77.999
[8] 4 torch.float32                 18.094   76.505
[8] 8 torch.float32                 20.335   77.841
[8] 16 torch.float32                30.015   83.659
[8] 32 torch.float32                48.658   97.371
[8] 64 torch.float32                168.009   128.245
[8] 128 torch.float32               759.834   199.677
[8] 256 torch.float32               1343.409   425.509
[8] 512 torch.float32               4386.839   1495.225
[8] 1024 torch.float32              21372.106   5863.535
[16] 2 torch.float32                18.562   76.997
[16] 4 torch.float32                19.741   76.300
[16] 8 torch.float32                23.991   76.799
[16] 16 torch.float32               41.455   83.600
[16] 32 torch.float32               78.890   98.929
[16] 64 torch.float32               306.462   127.835
[16] 128 torch.float32              1379.602   202.054
[16] 256 torch.float32              2409.948   507.530
[16] 512 torch.float32              7665.732   1844.689
[32] 2 torch.float32                23.065   74.961
[32] 4 torch.float32                28.031   77.012
[32] 8 torch.float32                31.961   77.581
[32] 16 torch.float32               94.479   85.294
[32] 32 torch.float32               133.064   98.566
[32] 64 torch.float32               540.137   128.793
[32] 128 torch.float32              2548.141   217.744
[32] 256 torch.float32              4898.430   689.526
[32] 512 torch.float32              18985.937   2800.300
[64] 2 torch.float32                29.178   76.237
[64] 4 torch.float32                31.106   76.892
[64] 8 torch.float32                47.171   78.007
[64] 16 torch.float32               135.556   84.151
[64] 32 torch.float32               216.458   98.063
[64] 64 torch.float32               939.356   129.018
[64] 128 torch.float32              5006.846   302.775
[64] 256 torch.float32              9406.040   1043.229
[128] 2 torch.float32               44.152   79.353
[128] 4 torch.float32               45.574   77.045
[128] 8 torch.float32               106.797   78.263
[128] 16 torch.float32              198.779   84.773
[128] 32 torch.float32              350.193   98.732
[128] 64 torch.float32              1847.135   148.139
[128] 128 torch.float32             10121.361   519.588
[128] 256 torch.float32             23357.860   1925.991
[256] 2 torch.float32               66.094   78.578
[256] 4 torch.float32               80.675   78.168
[256] 8 torch.float32               172.222   79.124
[256] 16 torch.float32              343.161   86.131
[256] 32 torch.float32              616.329   102.046
[256] 64 torch.float32              3859.301   235.053
[256] 128 torch.float32             18831.398   863.646
[512] 2 torch.float32               170.538   77.360
[512] 4 torch.float32               221.990   78.505
[512] 8 torch.float32               289.357   80.695
[512] 16 torch.float32              589.947   89.736
[512] 32 torch.float32              1167.077   123.539
[512] 64 torch.float32              7573.780   453.908
[512] 128 torch.float32             52992.334   1599.033
[1024] 2 torch.float32              297.906   79.390
[1024] 4 torch.float32              294.363   81.875
[1024] 8 torch.float32              465.537   84.850
[1024] 16 torch.float32             1099.160   97.232
[1024] 32 torch.float32             2342.029   221.044
[1024] 64 torch.float32             14075.669   777.911
