
1.9.0a0+git2b5c5c4

batch_size, matrix_size, dtype     cpu_time(us), gpu_time(us)
[] 2 torch.float32                  16.669   55.707
[] 4 torch.float32                  8.988   56.279
[] 8 torch.float32                  9.606   56.050
[] 16 torch.float32                 10.211   48.753
[] 32 torch.float32                 13.781   48.180
[] 64 torch.float32                 74.065   48.604
[] 128 torch.float32                136.915   65.295
[] 256 torch.float32                374.116   152.605
[] 512 torch.float32                1325.188   445.672
[] 1024 torch.float32               6287.731   1293.905
[] 2048 torch.float32               44692.626   5430.511
[1] 2 torch.float32                 9.704   55.768
[1] 4 torch.float32                 9.832   55.861
[1] 8 torch.float32                 10.263   55.057
[1] 16 torch.float32                10.672   48.378
[1] 32 torch.float32                13.843   47.741
[1] 64 torch.float32                68.520   47.746
[1] 128 torch.float32               117.593   55.726
[1] 256 torch.float32               336.442   130.063
[1] 512 torch.float32               839.713   381.789
[1] 1024 torch.float32              4412.975   1292.598
[1] 2048 torch.float32              26825.097   5430.759
[2] 2 torch.float32                 13.492   46.058
[2] 4 torch.float32                 14.539   46.946
[2] 8 torch.float32                 14.362   47.836
[2] 16 torch.float32                15.944   48.006
[2] 32 torch.float32                21.756   106.976
[2] 64 torch.float32                100.293   172.113
[2] 128 torch.float32               214.446   300.800
[2] 256 torch.float32               449.424   545.602
[2] 512 torch.float32               1418.239   1192.834
[2] 1024 torch.float32              9019.808   3235.049
[2] 2048 torch.float32              61188.488   12367.597
[4] 2 torch.float32                 15.150   46.592
[4] 4 torch.float32                 15.451   46.855
[4] 8 torch.float32                 16.447   47.244
[4] 16 torch.float32                18.390   47.177
[4] 32 torch.float32                30.252   104.076
[4] 64 torch.float32                178.246   160.445
[4] 128 torch.float32               343.771   289.514
[4] 256 torch.float32               614.417   579.383
[4] 512 torch.float32               2551.181   1408.043
[4] 1024 torch.float32              17698.177   4557.618
[4] 2048 torch.float32              120526.804   20665.992
[8] 2 torch.float32                 17.738   46.515
[8] 4 torch.float32                 19.377   47.021
[8] 8 torch.float32                 19.701   48.137
[8] 16 torch.float32                24.233   47.501
[8] 32 torch.float32                46.948   105.450
[8] 64 torch.float32                326.774   165.417
[8] 128 torch.float32               408.528   307.311
[8] 256 torch.float32               1171.613   671.861
[8] 512 torch.float32               4582.418   1905.267
[8] 1024 torch.float32              42341.189   7214.016
[16] 2 torch.float32                23.400   46.384
[16] 4 torch.float32                25.423   46.729
[16] 8 torch.float32                26.428   47.852
[16] 16 torch.float32               36.230   47.441
[16] 32 torch.float32               80.811   111.544
[16] 64 torch.float32               540.700   178.012
[16] 128 torch.float32              705.543   337.825
[16] 256 torch.float32              2039.275   866.897
[16] 512 torch.float32              11060.784   2865.669
[32] 2 torch.float32                31.195   48.693
[32] 4 torch.float32                34.950   48.283
[32] 8 torch.float32                37.085   49.325
[32] 16 torch.float32               56.288   49.118
[32] 32 torch.float32               149.209   114.408
[32] 64 torch.float32               991.201   187.465
[32] 128 torch.float32              1440.597   418.658
[32] 256 torch.float32              3899.989   1261.094
[64] 2 torch.float32                50.695   48.414
[64] 4 torch.float32                60.258   48.846
[64] 8 torch.float32                62.575   49.696
[64] 16 torch.float32               102.202   49.616
[64] 32 torch.float32               345.608   118.163
[64] 64 torch.float32               1797.026   209.671
[64] 128 torch.float32              2687.032   556.512
[128] 2 torch.float32               91.550   49.189
[128] 4 torch.float32               110.788   49.498
[128] 8 torch.float32               114.526   50.550
[128] 16 torch.float32              195.040   50.784
[128] 32 torch.float32              533.968   125.271
[128] 64 torch.float32              3449.807   257.297
[256] 2 torch.float32               173.467   50.836
[256] 4 torch.float32               210.514   50.964
[256] 8 torch.float32               219.431   52.439
[256] 16 torch.float32              411.190   53.635
[256] 32 torch.float32              994.360   154.498
[512] 2 torch.float32               335.943   54.528
[512] 4 torch.float32               423.930   55.541
[512] 8 torch.float32               470.815   57.449
[512] 16 torch.float32              694.957   63.316
[1024] 2 torch.float32              662.553   65.860
[1024] 4 torch.float32              822.936   66.063
[1024] 8 torch.float32              892.930   70.187
