
1.9.0a0+git2b5c5c4

batch_size, matrix_size, dtype     cpu_time(us), gpu_time(us)
[] 2 torch.float32                  99.661   75.675
[] 4 torch.float32                  9.385   75.201
[] 8 torch.float32                  10.082   75.388
[] 16 torch.float32                 10.833   67.896
[] 32 torch.float32                 13.716   76.100
[] 64 torch.float32                 62.426   85.117
[] 128 torch.float32                96.773   117.823
[] 256 torch.float32                261.245   200.413
[] 512 torch.float32                1088.994   491.496
[] 1024 torch.float32               6108.887   1351.410
[] 2048 torch.float32               43682.237   5474.272
[1] 2 torch.float32                 13.473   96.275
[1] 4 torch.float32                 12.861   95.260
[1] 8 torch.float32                 14.199   95.365
[1] 16 torch.float32                14.675   87.303
[1] 32 torch.float32                18.660   87.088
[1] 64 torch.float32                64.363   96.393
[1] 128 torch.float32               177.466   129.995
[1] 256 torch.float32               313.046   194.453
[1] 512 torch.float32               711.857   444.262
[1] 1024 torch.float32              4364.383   1335.282
[1] 2048 torch.float32              26401.824   5452.155
[2] 2 torch.float32                 9.949   83.703
[2] 4 torch.float32                 10.190   84.125
[2] 8 torch.float32                 11.127   83.387
[2] 16 torch.float32                12.445   73.644
[2] 32 torch.float32                18.164   80.482
[2] 64 torch.float32                110.174   105.414
[2] 128 torch.float32               171.822   154.606
[2] 256 torch.float32               336.149   302.200
[2] 512 torch.float32               1233.999   801.916
[2] 1024 torch.float32              8448.210   2617.933
[2] 2048 torch.float32              59972.495   10935.942
[4] 2 torch.float32                 11.251   104.390
[4] 4 torch.float32                 12.331   104.365
[4] 8 torch.float32                 12.491   113.097
[4] 16 torch.float32                15.247   95.814
[4] 32 torch.float32                26.487   110.234
[4] 64 torch.float32                155.365   150.678
[4] 128 torch.float32               256.637   257.393
[4] 256 torch.float32               582.452   552.475
[4] 512 torch.float32               2566.378   1572.882
[4] 1024 torch.float32              16953.633   5202.976
[4] 2048 torch.float32              121977.141   21824.323
[8] 2 torch.float32                 14.075   148.196
[8] 4 torch.float32                 15.486   148.269
[8] 8 torch.float32                 15.267   166.843
[8] 16 torch.float32                20.795   131.879
[8] 32 torch.float32                83.965   162.457
[8] 64 torch.float32                287.997   252.512
[8] 128 torch.float32               398.179   459.324
[8] 256 torch.float32               1051.812   1075.748
[8] 512 torch.float32               4679.575   3096.380
[8] 1024 torch.float32              39492.475   10372.936
[16] 2 torch.float32                18.542   229.293
[16] 4 torch.float32                20.746   229.906
[16] 8 torch.float32                22.084   269.654
[16] 16 torch.float32               32.082   209.908
[16] 32 torch.float32               107.605   267.804
[16] 64 torch.float32               524.515   441.421
[16] 128 torch.float32              720.088   867.863
[16] 256 torch.float32              1922.160   2143.806
[16] 512 torch.float32              10878.863   6135.997
[32] 2 torch.float32                27.553   398.757
[32] 4 torch.float32                32.470   402.123
[32] 8 torch.float32                34.438   478.654
[32] 16 torch.float32               118.768   357.366
[32] 32 torch.float32               146.530   474.386
[32] 64 torch.float32               930.824   820.554
[32] 128 torch.float32              1402.255   1700.250
[32] 256 torch.float32              3910.787   4246.317
[64] 2 torch.float32                45.633   726.496
[64] 4 torch.float32                56.235   711.844
[64] 8 torch.float32                57.113   897.770
[64] 16 torch.float32               129.856   656.229
[64] 32 torch.float32               300.316   890.905
[64] 64 torch.float32               1767.284   1587.029
[64] 128 torch.float32              2718.058   3398.384
[128] 2 torch.float32               81.527   1359.478
[128] 4 torch.float32               104.687   1366.054
[128] 8 torch.float32               124.713   1723.520
[128] 16 torch.float32              186.307   1252.284
[128] 32 torch.float32              521.727   1723.224
[128] 64 torch.float32              3477.312   3138.341
[256] 2 torch.float32               155.572   2654.384
[256] 4 torch.float32               193.216   2651.392
[256] 8 torch.float32               201.008   3382.305
[256] 16 torch.float32              381.905   2441.597
[256] 32 torch.float32              991.603   3388.426
[512] 2 torch.float32               302.958   5278.223
[512] 4 torch.float32               379.288   5244.495
[512] 8 torch.float32               404.375   6697.522
[512] 16 torch.float32              668.895   4819.605
[1024] 2 torch.float32              591.400   10481.373
[1024] 4 torch.float32              754.203   10398.145
[1024] 8 torch.float32              802.768   13328.166
