
1.9.0a0+git693e28e

batch_size, matrix_size, dtype     cpu_time(us), gpu_time(us)
[] 2 torch.float32                  10.372   55.214
[] 4 torch.float32                  10.959   56.036
[] 8 torch.float32                  11.313   56.528
[] 16 torch.float32                 11.553   55.242
[] 32 torch.float32                 12.162   55.524
[] 64 torch.float32                 14.094   55.909
[] 128 torch.float32                20.812   54.976
[] 256 torch.float32                64.806   55.349
[] 512 torch.float32                168.834   88.093
[] 1024 torch.float32               366.035   177.000
[] 2048 torch.float32               1942.357   392.364
[1] 2 torch.float32                 11.239   56.560
[1] 4 torch.float32                 11.120   55.828
[1] 8 torch.float32                 11.356   56.168
[1] 16 torch.float32                11.836   56.350
[1] 32 torch.float32                12.790   56.552
[1] 64 torch.float32                14.268   56.083
[1] 128 torch.float32               20.435   56.081
[1] 256 torch.float32               63.953   56.577
[1] 512 torch.float32               184.333   74.040
[1] 1024 torch.float32              360.296   153.031
[1] 2048 torch.float32              1920.543   347.366
[2] 2 torch.float32                 9.197   73.311
[2] 4 torch.float32                 8.409   76.061
[2] 8 torch.float32                 8.477   78.926
[2] 16 torch.float32                9.114   85.965
[2] 32 torch.float32                10.448   95.736
[2] 64 torch.float32                14.750   119.380
[2] 128 torch.float32               30.316   185.684
[2] 256 torch.float32               109.731   270.288
[2] 512 torch.float32               296.868   441.265
[2] 1024 torch.float32              804.981   1102.756
[2] 2048 torch.float32              9296.025   2690.552
[4] 2 torch.float32                 11.476   72.076
[4] 4 torch.float32                 11.653   73.241
[4] 8 torch.float32                 12.268   75.861
[4] 16 torch.float32                13.096   81.592
[4] 32 torch.float32                15.961   89.433
[4] 64 torch.float32                23.121   110.576
[4] 128 torch.float32               80.445   156.827
[4] 256 torch.float32               204.232   244.210
[4] 512 torch.float32               417.719   512.056
[4] 1024 torch.float32              1305.749   1151.381
[4] 2048 torch.float32              16617.070   2884.394
[8] 2 torch.float32                 12.429   71.992
[8] 4 torch.float32                 12.954   74.899
[8] 8 torch.float32                 13.084   77.293
[8] 16 torch.float32                14.919   80.088
[8] 32 torch.float32                19.757   89.558
[8] 64 torch.float32                37.770   110.320
[8] 128 torch.float32               141.879   154.464
[8] 256 torch.float32               312.312   247.383
[8] 512 torch.float32               668.273   543.425
[8] 1024 torch.float32              6619.548   1247.870
[16] 2 torch.float32                15.403   71.429
[16] 4 torch.float32                13.366   73.389
[16] 8 torch.float32                15.339   74.828
[16] 16 torch.float32               18.643   81.161
[16] 32 torch.float32               28.535   89.934
[16] 64 torch.float32               101.235   111.160
[16] 128 torch.float32              242.448   154.748
[16] 256 torch.float32              467.676   281.149
[16] 512 torch.float32              1436.557   596.645
[32] 2 torch.float32                15.364   70.924
[32] 4 torch.float32                16.247   71.913
[32] 8 torch.float32                18.978   75.196
[32] 16 torch.float32               25.756   80.005
[32] 32 torch.float32               48.177   88.649
[32] 64 torch.float32               184.350   114.344
[32] 128 torch.float32              413.871   158.259
[32] 256 torch.float32              842.093   309.669
[64] 2 torch.float32                19.786   68.724
[64] 4 torch.float32                20.434   70.322
[64] 8 torch.float32                25.976   73.286
[64] 16 torch.float32               42.738   78.571
[64] 32 torch.float32               120.840   88.713
[64] 64 torch.float32               295.271   110.364
[64] 128 torch.float32              643.377   177.568
[128] 2 torch.float32               26.175   70.041
[128] 4 torch.float32               29.386   73.721
[128] 8 torch.float32               40.904   75.917
[128] 16 torch.float32              73.521   82.068
[128] 32 torch.float32              213.988   91.511
[128] 64 torch.float32              502.950   117.420
[256] 2 torch.float32               39.837   71.820
[256] 4 torch.float32               48.603   72.726
[256] 8 torch.float32               72.038   78.912
[256] 16 torch.float32              196.233   82.557
[256] 32 torch.float32              367.515   97.044
[512] 2 torch.float32               67.129   77.947
[512] 4 torch.float32               84.209   80.062
[512] 8 torch.float32               133.878   86.151
[512] 16 torch.float32              346.553   99.630
[1024] 2 torch.float32              124.273   95.192
[1024] 4 torch.float32              167.205   102.913
[1024] 8 torch.float32              432.940   109.286
