
1.9.0a0+git2b5c5c4

batch_size, matrix_size, dtype     cpu_time(us), gpu_time(us)
[] 2 torch.float32                  110.247   81.989
[] 4 torch.float32                  7.586   81.041
[] 8 torch.float32                  7.614   80.156
[] 16 torch.float32                 7.967   80.618
[] 32 torch.float32                 8.374   80.955
[] 64 torch.float32                 10.716   90.292
[] 128 torch.float32                17.277   98.234
[] 256 torch.float32                59.164   114.547
[] 512 torch.float32                124.875   148.104
[] 1024 torch.float32               344.752   230.091
[] 2048 torch.float32               1990.867   397.844
[1] 2 torch.float32                 8.001   82.008
[1] 4 torch.float32                 7.739   81.394
[1] 8 torch.float32                 7.966   80.723
[1] 16 torch.float32                8.072   81.425
[1] 32 torch.float32                8.715   81.011
[1] 64 torch.float32                10.616   81.846
[1] 128 torch.float32               17.682   90.032
[1] 256 torch.float32               53.105   129.286
[1] 512 torch.float32               120.635   132.978
[1] 1024 torch.float32              358.876   206.143
[1] 2048 torch.float32              1983.441   398.742
[2] 2 torch.float32                 7.888   86.184
[2] 4 torch.float32                 7.974   86.093
[2] 8 torch.float32                 8.099   87.086
[2] 16 torch.float32                8.495   95.153
[2] 32 torch.float32                9.856   111.728
[2] 64 torch.float32                13.846   154.135
[2] 128 torch.float32               29.603   285.368
[2] 256 torch.float32               79.540   367.668
[2] 512 torch.float32               243.065   901.704
[2] 1024 torch.float32              609.080   4097.075
[2] 2048 torch.float32              8896.524   13613.865
[4] 2 torch.float32                 8.258   87.295
[4] 4 torch.float32                 9.028   86.732
[4] 8 torch.float32                 9.152   86.936
[4] 16 torch.float32                9.437   96.163
[4] 32 torch.float32                12.194   113.475
[4] 64 torch.float32                20.562   155.953
[4] 128 torch.float32               68.705   286.440
[4] 256 torch.float32               158.499   368.044
[4] 512 torch.float32               469.254   927.093
[4] 1024 torch.float32              1314.523   4231.653
[4] 2048 torch.float32              17557.431   13914.022
[8] 2 torch.float32                 9.978   88.606
[8] 4 torch.float32                 10.561   88.596
[8] 8 torch.float32                 9.828   88.484
[8] 16 torch.float32                11.547   96.829
[8] 32 torch.float32                16.333   113.093
[8] 64 torch.float32                35.925   155.346
[8] 128 torch.float32               124.501   286.790
[8] 256 torch.float32               266.461   369.668
[8] 512 torch.float32               687.299   1419.131
[8] 1024 torch.float32              7543.319   4372.967
[16] 2 torch.float32                11.139   88.317
[16] 4 torch.float32                9.960   87.959
[16] 8 torch.float32                12.524   87.963
[16] 16 torch.float32               15.281   95.866
[16] 32 torch.float32               26.054   113.828
[16] 64 torch.float32               84.789   155.338
[16] 128 torch.float32              212.828   286.355
[16] 256 torch.float32              452.162   385.863
[16] 512 torch.float32              1505.150   1486.784
[32] 2 torch.float32                12.211   88.964
[32] 4 torch.float32                12.245   89.086
[32] 8 torch.float32                15.254   88.859
[32] 16 torch.float32               23.110   97.806
[32] 32 torch.float32               46.661   114.082
[32] 64 torch.float32               167.968   157.778
[32] 128 torch.float32              333.992   288.153
[32] 256 torch.float32              814.888   550.547
[64] 2 torch.float32                15.352   90.204
[64] 4 torch.float32                16.677   90.898
[64] 8 torch.float32                22.651   89.272
[64] 16 torch.float32               38.376   97.765
[64] 32 torch.float32               116.109   114.295
[64] 64 torch.float32               259.912   155.898
[64] 128 torch.float32              616.736   321.685
[128] 2 torch.float32               21.328   88.210
[128] 4 torch.float32               25.197   88.387
[128] 8 torch.float32               38.213   88.902
[128] 16 torch.float32              71.338   97.365
[128] 32 torch.float32              205.494   114.330
[128] 64 torch.float32              469.323   163.243
[256] 2 torch.float32               35.437   90.350
[256] 4 torch.float32               43.132   89.293
[256] 8 torch.float32               68.104   89.692
[256] 16 torch.float32              204.713   99.173
[256] 32 torch.float32              363.123   121.813
[512] 2 torch.float32               62.150   90.669
[512] 4 torch.float32               77.854   89.657
[512] 8 torch.float32               130.734   99.431
[512] 16 torch.float32              353.949   107.201
[1024] 2 torch.float32              115.569   100.548
[1024] 4 torch.float32              149.839   107.945
[1024] 8 torch.float32              441.439   107.418
