
1.9.0a0+git80a4a50

batch_size, matrix_size, dtype     cpu_time(us), gpu_time(us)
[] 2 torch.float32                  94.284   521.737
[] 4 torch.float32                  7.374   517.659
[] 8 torch.float32                  7.489   520.499
[] 16 torch.float32                 7.828   519.494
[] 32 torch.float32                 8.498   516.319
[] 64 torch.float32                 10.898   534.756
[] 128 torch.float32                16.425   534.035
[] 256 torch.float32                88.391   581.194
[] 512 torch.float32                134.937   610.909
[] 1024 torch.float32               361.485   637.403
[] 2048 torch.float32               1954.918   805.346
[1] 2 torch.float32                 7.842   75.654
[1] 4 torch.float32                 7.570   76.753
[1] 8 torch.float32                 7.708   80.479
[1] 16 torch.float32                8.246   82.366
[1] 32 torch.float32                8.768   91.323
[1] 64 torch.float32                11.799   118.550
[1] 128 torch.float32               18.822   158.596
[1] 256 torch.float32               58.764   245.211
[1] 512 torch.float32               126.776   435.343
[1] 1024 torch.float32              378.370   1002.871
[1] 2048 torch.float32              1930.838   2561.133
[2] 2 torch.float32                 7.894   73.848
[2] 4 torch.float32                 8.277   76.199
[2] 8 torch.float32                 8.247   78.185
[2] 16 torch.float32                8.550   83.905
[2] 32 torch.float32                9.948   92.767
[2] 64 torch.float32                14.130   112.897
[2] 128 torch.float32               29.874   155.960
[2] 256 torch.float32               83.622   254.495
[2] 512 torch.float32               237.817   439.582
[2] 1024 torch.float32              641.494   1090.053
[2] 2048 torch.float32              9004.625   2692.856
[4] 2 torch.float32                 7.713   74.677
[4] 4 torch.float32                 8.261   75.935
[4] 8 torch.float32                 8.743   80.123
[4] 16 torch.float32                9.665   84.798
[4] 32 torch.float32                12.158   93.124
[4] 64 torch.float32                19.853   114.470
[4] 128 torch.float32               71.502   157.608
[4] 256 torch.float32               150.503   247.419
[4] 512 torch.float32               445.358   515.678
[4] 1024 torch.float32              1281.544   1154.751
[4] 2048 torch.float32              18471.391   2882.237
[8] 2 torch.float32                 14.673   81.251
[8] 4 torch.float32                 21.065   83.519
[8] 8 torch.float32                 11.086   84.291
[8] 16 torch.float32                13.148   87.463
[8] 32 torch.float32                18.121   93.626
[8] 64 torch.float32                41.111   120.565
[8] 128 torch.float32               149.641   159.202
[8] 256 torch.float32               363.042   249.045
[8] 512 torch.float32               767.007   544.811
[8] 1024 torch.float32              8963.031   1250.634
[16] 2 torch.float32                12.900   77.678
[16] 4 torch.float32                9.789   77.418
[16] 8 torch.float32                14.507   79.896
[16] 16 torch.float32               16.385   84.720
[16] 32 torch.float32               36.553   94.391
[16] 64 torch.float32               97.620   115.029
[16] 128 torch.float32              229.369   159.216
[16] 256 torch.float32              514.044   284.019
[16] 512 torch.float32              1433.917   599.825
[32] 2 torch.float32                13.241   75.283
[32] 4 torch.float32                12.677   74.946
[32] 8 torch.float32                15.678   81.830
[32] 16 torch.float32               24.488   87.976
[32] 32 torch.float32               51.193   98.077
[32] 64 torch.float32               149.764   117.151
[32] 128 torch.float32              318.769   159.832
[32] 256 torch.float32              834.203   312.937
[64] 2 torch.float32                14.890   72.730
[64] 4 torch.float32                16.773   74.002
[64] 8 torch.float32                23.313   77.071
[64] 16 torch.float32               39.169   82.816
[64] 32 torch.float32               112.686   92.367
[64] 64 torch.float32               246.074   114.467
[64] 128 torch.float32              608.295   182.465
[128] 2 torch.float32               21.893   73.674
[128] 4 torch.float32               25.527   74.025
[128] 8 torch.float32               38.198   78.084
[128] 16 torch.float32              78.535   88.229
[128] 32 torch.float32              193.967   96.027
[128] 64 torch.float32              433.460   119.232
[256] 2 torch.float32               35.120   76.106
[256] 4 torch.float32               44.516   77.004
[256] 8 torch.float32               74.594   81.578
[256] 16 torch.float32              163.471   85.514
[256] 32 torch.float32              328.155   100.762
[512] 2 torch.float32               63.044   83.673
[512] 4 torch.float32               81.081   86.359
[512] 8 torch.float32               135.262   91.087
[512] 16 torch.float32              280.607   103.776
[1024] 2 torch.float32              120.000   94.534
[1024] 4 torch.float32              153.813   100.186
[1024] 8 torch.float32              290.933   113.831
