
1.9.0a0+gitccb6d48

batch_size, matrix_size, dtype     cpu_time(us), gpu_time(us)
[] 2 torch.float32                  114.999   58.959
[] 4 torch.float32                  14.173   59.223
[] 8 torch.float32                  17.363   59.109
[] 16 torch.float32                 17.514   59.451
[] 32 torch.float32                 21.385   59.565
[] 64 torch.float32                 47.581   83.184
[] 128 torch.float32                175.685   120.336
[] 256 torch.float32                437.752   208.042
[] 512 torch.float32                1745.911   400.172
[] 1024 torch.float32               6181.202   972.376
[] 2048 torch.float32               41858.311   2771.738
[1] 2 torch.float32                 16.335   58.924
[1] 4 torch.float32                 16.078   64.280
[1] 8 torch.float32                 16.779   59.009
[1] 16 torch.float32                18.578   59.372
[1] 32 torch.float32                22.422   59.963
[1] 64 torch.float32                48.282   75.136
[1] 128 torch.float32               175.487   112.467
[1] 256 torch.float32               405.833   186.747
[1] 512 torch.float32               1141.065   359.730
[1] 1024 torch.float32              4506.147   972.515
[1] 2048 torch.float32              28497.187   2773.273
[2] 2 torch.float32                 17.416   39.668
[2] 4 torch.float32                 17.908   40.283
[2] 8 torch.float32                 19.011   41.505
[2] 16 torch.float32                22.287   47.370
[2] 32 torch.float32                29.969   59.570
[2] 64 torch.float32                80.104   86.426
[2] 128 torch.float32               337.950   154.935
[2] 256 torch.float32               526.128   354.285
[2] 512 torch.float32               1621.910   1201.538
[2] 1024 torch.float32              6042.175   4521.013
[2] 2048 torch.float32              39463.474   7465.609
[4] 2 torch.float32                 18.921   40.741
[4] 4 torch.float32                 18.504   40.869
[4] 8 torch.float32                 21.586   43.534
[4] 16 torch.float32                28.045   48.096
[4] 32 torch.float32                42.119   60.854
[4] 64 torch.float32                142.013   91.095
[4] 128 torch.float32               580.392   165.793
[4] 256 torch.float32               759.007   384.977
[4] 512 torch.float32               2350.644   1304.067
[4] 1024 torch.float32              9158.168   4929.194
[4] 2048 torch.float32              57909.557   9631.141
[8] 2 torch.float32                 17.518   42.027
[8] 4 torch.float32                 17.462   41.145
[8] 8 torch.float32                 19.693   42.852
[8] 16 torch.float32                27.283   48.796
[8] 32 torch.float32                48.532   62.668
[8] 64 torch.float32                173.550   95.206
[8] 128 torch.float32               796.840   175.077
[8] 256 torch.float32               1353.606   429.544
[8] 512 torch.float32               4010.749   1457.487
[8] 1024 torch.float32              18085.587   5868.911
[16] 2 torch.float32                18.837   45.466
[16] 4 torch.float32                20.189   43.327
[16] 8 torch.float32                24.433   46.226
[16] 16 torch.float32               43.162   50.815
[16] 32 torch.float32               81.100   63.677
[16] 64 torch.float32               322.427   96.308
[16] 128 torch.float32              1581.786   184.481
[16] 256 torch.float32              2411.335   490.029
[16] 512 torch.float32              7786.231   1753.410
[32] 2 torch.float32                21.183   40.783
[32] 4 torch.float32                22.316   42.487
[32] 8 torch.float32                32.291   43.080
[32] 16 torch.float32               110.248   49.999
[32] 32 torch.float32               134.325   64.570
[32] 64 torch.float32               559.294   97.589
[32] 128 torch.float32              2694.669   215.273
[32] 256 torch.float32              4834.244   610.006
[64] 2 torch.float32                27.419   40.654
[64] 4 torch.float32                28.757   41.364
[64] 8 torch.float32                46.418   43.315
[64] 16 torch.float32               149.626   49.638
[64] 32 torch.float32               218.847   63.921
[64] 64 torch.float32               997.914   104.182
[64] 128 torch.float32              4984.405   271.572
[128] 2 torch.float32               47.061   42.474
[128] 4 torch.float32               58.075   41.955
[128] 8 torch.float32               94.416   42.927
[128] 16 torch.float32              218.431   50.108
[128] 32 torch.float32              361.651   64.927
[128] 64 torch.float32              1863.643   133.470
[256] 2 torch.float32               66.360   42.825
[256] 4 torch.float32               79.120   43.048
[256] 8 torch.float32               145.336   46.427
[256] 16 torch.float32              330.696   51.697
[256] 32 torch.float32              653.331   73.969
[512] 2 torch.float32               119.886   43.343
[512] 4 torch.float32               144.395   45.033
[512] 8 torch.float32               262.083   47.363
[512] 16 torch.float32              580.736   56.217
[1024] 2 torch.float32              212.592   45.818
[1024] 4 torch.float32              273.709   49.839
[1024] 8 torch.float32              441.060   50.737
