
1.9.0a0+git68b6249

batch_size, matrix_size, dtype     cpu_time(us), gpu_time(us)
[] 2 torch.float32                  18.549   2280.221
[] 4 torch.float32                  14.178   2303.458
[] 8 torch.float32                  19.902   2326.320
[] 16 torch.float32                 23.295   2358.930
[] 32 torch.float32                 25.717   2341.613
[] 64 torch.float32                 52.524   2383.232
[] 128 torch.float32                171.943   2431.619
[] 256 torch.float32                437.589   2884.719
[] 512 torch.float32                1600.013   3219.271
[] 1024 torch.float32               5924.107   3948.443
[] 2048 torch.float32               41714.669   6239.588
[1] 2 torch.float32                 15.702   55.177
[1] 4 torch.float32                 15.703   55.194
[1] 8 torch.float32                 16.003   56.533
[1] 16 torch.float32                17.414   62.417
[1] 32 torch.float32                20.332   74.961
[1] 64 torch.float32                60.914   102.557
[1] 128 torch.float32               132.190   170.707
[1] 256 torch.float32               416.282   374.914
[1] 512 torch.float32               1211.817   1147.444
[1] 1024 torch.float32              4502.407   4157.900
[1] 2048 torch.float32              28407.434   6390.159
[2] 2 torch.float32                 17.778   54.883
[2] 4 torch.float32                 18.328   55.135
[2] 8 torch.float32                 19.596   56.541
[2] 16 torch.float32                23.217   61.926
[2] 32 torch.float32                27.559   74.519
[2] 64 torch.float32                62.525   101.504
[2] 128 torch.float32               247.344   168.731
[2] 256 torch.float32               578.288   369.279
[2] 512 torch.float32               1579.177   1204.858
[2] 1024 torch.float32              5903.090   4448.121
[2] 2048 torch.float32              38928.548   7395.678
[4] 2 torch.float32                 17.595   41.088
[4] 4 torch.float32                 17.833   41.878
[4] 8 torch.float32                 20.093   42.951
[4] 16 torch.float32                26.920   48.655
[4] 32 torch.float32                41.525   61.765
[4] 64 torch.float32                135.570   91.196
[4] 128 torch.float32               569.049   166.014
[4] 256 torch.float32               755.696   385.509
[4] 512 torch.float32               2334.964   1304.622
[4] 1024 torch.float32              8983.922   4886.211
[4] 2048 torch.float32              57744.122   9442.459
[8] 2 torch.float32                 16.763   41.769
[8] 4 torch.float32                 16.029   43.375
[8] 8 torch.float32                 18.737   44.121
[8] 16 torch.float32                27.566   50.869
[8] 32 torch.float32                44.886   64.079
[8] 64 torch.float32                174.900   96.937
[8] 128 torch.float32               728.914   176.674
[8] 256 torch.float32               1418.589   432.471
[8] 512 torch.float32               4379.736   1462.709
[8] 1024 torch.float32              20525.438   5786.699
[16] 2 torch.float32                20.943   42.434
[16] 4 torch.float32                21.131   43.252
[16] 8 torch.float32                28.309   44.373
[16] 16 torch.float32               54.339   51.100
[16] 32 torch.float32               107.855   64.965
[16] 64 torch.float32               432.193   98.290
[16] 128 torch.float32              1366.647   185.933
[16] 256 torch.float32              2399.369   492.626
[16] 512 torch.float32              7870.638   1754.295
[32] 2 torch.float32                20.972   42.380
[32] 4 torch.float32                22.055   43.250
[32] 8 torch.float32                29.957   44.699
[32] 16 torch.float32               65.205   50.902
[32] 32 torch.float32               127.844   65.271
[32] 64 torch.float32               519.015   99.046
[32] 128 torch.float32              2811.563   214.874
[32] 256 torch.float32              4791.791   610.045
[64] 2 torch.float32                28.119   42.636
[64] 4 torch.float32                30.284   43.522
[64] 8 torch.float32                47.622   44.746
[64] 16 torch.float32               115.604   50.989
[64] 32 torch.float32               215.774   65.572
[64] 64 torch.float32               975.933   104.305
[64] 128 torch.float32              5795.697   271.441
[128] 2 torch.float32               54.277   42.892
[128] 4 torch.float32               62.766   43.840
[128] 8 torch.float32               98.480   44.832
[128] 16 torch.float32              220.487   51.180
[128] 32 torch.float32              367.224   66.161
[128] 64 torch.float32              1942.661   133.194
[256] 2 torch.float32               68.148   44.754
[256] 4 torch.float32               81.974   45.447
[256] 8 torch.float32               147.674   47.612
[256] 16 torch.float32              334.533   54.235
[256] 32 torch.float32              668.304   74.383
[512] 2 torch.float32               116.993   46.233
[512] 4 torch.float32               144.788   47.107
[512] 8 torch.float32               272.624   49.280
[512] 16 torch.float32              581.514   57.851
[1024] 2 torch.float32              224.115   48.189
[1024] 4 torch.float32              279.078   48.978
[1024] 8 torch.float32              461.055   53.205
