batch_size, matrix_size, dtype     cpu_time(ms), gpu_time(ms)
[] 2 torch.float32                  0.022   0.238
[] 4 torch.float32                  0.031   0.417
[] 8 torch.float32                  0.035   0.514
[] 16 torch.float32                 0.063   0.642
[] 32 torch.float32                 0.344   0.654
[] 64 torch.float32                 0.881   1.404
[] 128 torch.float32                2.526   3.303
[] 256 torch.float32                10.714   9.202
[] 512 torch.float32                55.203   25.748
[] 1024 torch.float32               179.112   92.043
[1] 2 torch.float32                 0.024   0.222
[1] 4 torch.float32                 0.028   0.342
[1] 8 torch.float32                 0.036   0.454
[1] 16 torch.float32                0.065   0.589
[1] 32 torch.float32                0.341   0.711
[1] 64 torch.float32                0.873   1.397
[1] 128 torch.float32               2.479   3.308
[1] 256 torch.float32               10.299   9.196
[1] 512 torch.float32               53.059   25.379
[1] 1024 torch.float32              174.878   91.410
[2] 2 torch.float32                 0.026   0.097
[2] 4 torch.float32                 0.035   0.135
[2] 8 torch.float32                 0.050   0.201
[2] 16 torch.float32                0.102   0.284
[2] 32 torch.float32                0.604   0.383
[2] 64 torch.float32                1.679   2.653
[2] 128 torch.float32               4.962   6.660
[2] 256 torch.float32               20.437   18.161
[2] 512 torch.float32               105.736   51.057
[2] 1024 torch.float32              361.028   184.945
[4] 2 torch.float32                 0.029   0.091
[4] 4 torch.float32                 0.044   0.155
[4] 8 torch.float32                 0.072   0.198
[4] 16 torch.float32                0.179   0.288
[4] 32 torch.float32                1.453   0.379
[4] 64 torch.float32                4.172   5.277
[4] 128 torch.float32               10.239   12.925
[4] 256 torch.float32               41.034   36.478
[4] 512 torch.float32               222.284   101.613
[8] 2 torch.float32                 0.037   0.095
[8] 4 torch.float32                 0.067   0.154
[8] 8 torch.float32                 0.125   0.203
[8] 16 torch.float32                0.343   0.293
[8] 32 torch.float32                2.274   0.383
[8] 64 torch.float32                6.826   10.514
[8] 128 torch.float32               21.405   25.795
[8] 256 torch.float32               84.441   72.990
[16] 2 torch.float32                0.051   0.095
[16] 4 torch.float32                0.101   0.152
[16] 8 torch.float32                0.229   0.201
[16] 16 torch.float32               0.668   0.291
[16] 32 torch.float32               4.555   0.382
[16] 64 torch.float32               13.008   21.038
[16] 128 torch.float32              39.201   51.828
[32] 2 torch.float32                0.076   0.095
[32] 4 torch.float32                0.183   0.157
[32] 8 torch.float32                0.437   0.202
[32] 16 torch.float32               1.301   0.292
[32] 32 torch.float32               9.018   0.390
[32] 64 torch.float32               25.880   42.007
[64] 2 torch.float32                0.130   0.110
[64] 4 torch.float32                0.343   0.161
[64] 8 torch.float32                0.853   0.200
[64] 16 torch.float32               2.601   0.325
[64] 32 torch.float32               17.619   0.415
[128] 2 torch.float32               0.244   0.119
[128] 4 torch.float32               0.668   0.176
[128] 8 torch.float32               1.672   0.226
[128] 16 torch.float32              5.214   0.324
[256] 2 torch.float32               0.460   0.136
[256] 4 torch.float32               1.301   0.250
[256] 8 torch.float32               3.323   0.373
[512] 2 torch.float32               0.927   0.177
[512] 4 torch.float32               2.575   0.394
[1024] 2 torch.float32              1.782   0.255
