after
1.8.0a0+1606899

batch_size, matrix_size, dtype     cpu_time(ms), gpu_time(ms)
[] 2 torch.float32                  0.022   0.239
[] 4 torch.float32                  0.025   0.364
[] 8 torch.float32                  0.031   0.454
[] 16 torch.float32                 0.055   0.624
[] 32 torch.float32                 0.838   0.718
[] 64 torch.float32                 1.842   1.392
[] 128 torch.float32                2.600   3.281
[] 256 torch.float32                10.419   9.023
[] 512 torch.float32                54.670   25.772
[] 1024 torch.float32               183.483   92.476
[1] 2 torch.float32                 0.022   0.231
[1] 4 torch.float32                 0.025   0.336
[1] 8 torch.float32                 0.032   0.463
[1] 16 torch.float32                0.056   0.588
[1] 32 torch.float32                0.435   0.699
[1] 64 torch.float32                0.841   1.399
[1] 128 torch.float32               2.447   3.319
[1] 256 torch.float32               10.781   9.116
[1] 512 torch.float32               53.536   25.264
[1] 1024 torch.float32              176.813   92.560
[2] 2 torch.float32                 0.029   0.117
[2] 4 torch.float32                 0.036   0.174
[2] 8 torch.float32                 0.050   0.222
[2] 16 torch.float32                0.098   0.318
[2] 32 torch.float32                0.763   0.396
[2] 64 torch.float32                1.856   2.819
[2] 128 torch.float32               4.714   5.684
[2] 256 torch.float32               20.993   16.171
[2] 512 torch.float32               169.707   40.160
[2] 1024 torch.float32              398.478   168.596
[4] 2 torch.float32                 0.029   0.091
[4] 4 torch.float32                 0.039   0.149
[4] 8 torch.float32                 0.066   0.198
[4] 16 torch.float32                0.161   0.285
[4] 32 torch.float32                1.168   0.386
[4] 64 torch.float32                4.429   5.084
[4] 128 torch.float32               10.478   12.820
[4] 256 torch.float32               40.765   34.047
[4] 512 torch.float32               286.076   89.990
[8] 2 torch.float32                 0.031   0.092
[8] 4 torch.float32                 0.056   0.153
[8] 8 torch.float32                 0.108   0.195
[8] 16 torch.float32                0.301   0.284
[8] 32 torch.float32                2.303   0.384
[8] 64 torch.float32                6.344   9.993
[8] 128 torch.float32               19.381   23.078
[8] 256 torch.float32               166.600   61.663
[16] 2 torch.float32                0.046   0.108
[16] 4 torch.float32                0.087   0.153
[16] 8 torch.float32                0.197   0.197
[16] 16 torch.float32               0.584   0.296
[16] 32 torch.float32               4.632   0.387
[16] 64 torch.float32               12.916   20.856
[16] 128 torch.float32              45.586   41.670
[32] 2 torch.float32                0.065   0.093
[32] 4 torch.float32                0.154   0.154
[32] 8 torch.float32                0.366   0.195
[32] 16 torch.float32               1.151   0.290
[32] 32 torch.float32               10.106   0.384
[32] 64 torch.float32               26.095   39.415
[64] 2 torch.float32                0.106   0.110
[64] 4 torch.float32                0.279   0.153
[64] 8 torch.float32                0.707   0.195
[64] 16 torch.float32               2.282   0.293
[64] 32 torch.float32               18.884   0.384
[128] 2 torch.float32               0.192   0.097
[128] 4 torch.float32               0.541   0.170
[128] 8 torch.float32               1.412   0.236
[128] 16 torch.float32              4.553   0.322
[256] 2 torch.float32               0.376   0.138
[256] 4 torch.float32               1.059   0.243
[256] 8 torch.float32               2.825   0.360
[512] 2 torch.float32               0.714   0.171
[512] 4 torch.float32               2.103   0.383
[1024] 2 torch.float32              1.411   0.262
