batch_size, matrix_size, dtype     cpu_time(ms), gpu_time(ms)
[] 2 torch.float32                  0.023   2.586
[] 4 torch.float32                  0.026   2.116
[] 8 torch.float32                  0.032   2.060
[] 16 torch.float32                 0.056   2.090
[] 32 torch.float32                 0.318   2.847
[] 64 torch.float32                 0.840   3.358
[] 128 torch.float32                2.445   11.426
[] 256 torch.float32                10.355   39.182
[] 512 torch.float32                62.492   91.212
[] 1024 torch.float32               200.060   263.738
[1] 2 torch.float32                 0.027   2.212
[1] 4 torch.float32                 0.029   2.218
[1] 8 torch.float32                 0.033   2.225
[1] 16 torch.float32                0.055   2.262
[1] 32 torch.float32                0.357   3.012
[1] 64 torch.float32                0.853   3.454
[1] 128 torch.float32               2.639   11.665
[1] 256 torch.float32               11.312   39.175
[1] 512 torch.float32               61.112   90.463
[1] 1024 torch.float32              185.700   260.806
[2] 2 torch.float32                 0.038   4.363
[2] 4 torch.float32                 0.041   4.378
[2] 8 torch.float32                 0.042   4.409
[2] 16 torch.float32                0.088   4.448
[2] 32 torch.float32                0.591   6.014
[2] 64 torch.float32                1.595   6.953
[2] 128 torch.float32               4.990   23.353
[2] 256 torch.float32               20.844   77.876
[2] 512 torch.float32               113.742   182.043
[2] 1024 torch.float32              384.171   518.680
[4] 2 torch.float32                 0.031   8.662
[4] 4 torch.float32                 0.043   8.691
[4] 8 torch.float32                 0.068   8.708
[4] 16 torch.float32                0.166   8.862
[4] 32 torch.float32                1.174   12.045
[4] 64 torch.float32                3.169   13.926
[4] 128 torch.float32               10.357   48.044
[4] 256 torch.float32               43.237   156.477
[4] 512 torch.float32               235.893   361.161
[8] 2 torch.float32                 0.041   17.208
[8] 4 torch.float32                 0.073   17.270
[8] 8 torch.float32                 0.109   17.357
[8] 16 torch.float32                0.315   17.583
[8] 32 torch.float32                2.255   24.059
[8] 64 torch.float32                6.872   28.145
[8] 128 torch.float32               20.673   94.923
[8] 256 torch.float32               83.147   310.328
[16] 2 torch.float32                0.051   34.331
[16] 4 torch.float32                0.108   34.481
[16] 8 torch.float32                0.202   34.640
[16] 16 torch.float32               0.596   35.079
[16] 32 torch.float32               4.479   48.261
[16] 64 torch.float32               12.513   56.101
[16] 128 torch.float32              40.755   192.676
[32] 2 torch.float32                0.077   69.626
[32] 4 torch.float32                0.165   69.866
[32] 8 torch.float32                0.385   70.369
[32] 16 torch.float32               1.165   71.463
[32] 32 torch.float32               9.065   99.582
[32] 64 torch.float32               26.334   113.871
[64] 2 torch.float32                0.118   137.396
[64] 4 torch.float32                0.297   137.583
[64] 8 torch.float32                0.741   138.404
[64] 16 torch.float32               2.327   139.894
[64] 32 torch.float32               18.977   194.467
[128] 2 torch.float32               0.238   282.373
[128] 4 torch.float32               0.583   281.186
[128] 8 torch.float32               1.458   279.936
[128] 16 torch.float32              4.598   283.615
[256] 2 torch.float32               0.403   553.846
[256] 4 torch.float32               1.122   550.992
[256] 8 torch.float32               2.884   553.561
[512] 2 torch.float32               0.779   1097.264
[512] 4 torch.float32               2.201   1099.425
[1024] 2 torch.float32              1.539   2184.490
