after
1.8.0a0+72edde6

batch_size, matrix_size, dtype     cpu_time(ms), gpu_time(ms)
[] 2 torch.float32                  0.023   0.219
[] 4 torch.float32                  0.026   0.374
[] 8 torch.float32                  0.035   0.459
[] 16 torch.float32                 0.064   0.473
[] 32 torch.float32                 0.322   0.564
[] 64 torch.float32                 0.785   1.212
[] 128 torch.float32                2.518   3.017
[] 256 torch.float32                9.449   7.999
[] 512 torch.float32                39.708   23.392
[] 1024 torch.float32               166.257   97.443
[1] 2 torch.float32                 0.020   0.207
[1] 4 torch.float32                 0.024   0.315
[1] 8 torch.float32                 0.031   0.369
[1] 16 torch.float32                0.059   0.511
[1] 32 torch.float32                0.279   0.629
[1] 64 torch.float32                0.755   1.223
[1] 128 torch.float32               2.251   2.936
[1] 256 torch.float32               8.631   8.251
[1] 512 torch.float32               44.272   23.414
[1] 1024 torch.float32              200.325   101.966
[2] 2 torch.float32                 0.024   0.097
[2] 4 torch.float32                 0.029   0.138
[2] 8 torch.float32                 0.045   0.195
[2] 16 torch.float32                0.103   0.266
[2] 32 torch.float32                0.655   0.345
[2] 64 torch.float32                1.799   2.107
[2] 128 torch.float32               4.547   5.047
[2] 256 torch.float32               18.377   11.635
[2] 512 torch.float32               82.352   40.353
[2] 1024 torch.float32              364.377   185.057
[4] 2 torch.float32                 0.083   0.165
[4] 4 torch.float32                 0.065   0.206
[4] 8 torch.float32                 0.100   0.243
[4] 16 torch.float32                0.244   0.317
[4] 32 torch.float32                1.297   0.388
[4] 64 torch.float32                3.058   4.299
[4] 128 torch.float32               9.128   9.313
[4] 256 torch.float32               35.868   24.636
[4] 512 torch.float32               160.444   76.399
[8] 2 torch.float32                 0.064   0.127
[8] 4 torch.float32                 0.077   0.173
[8] 8 torch.float32                 0.158   0.210
[8] 16 torch.float32                0.430   0.293
[8] 32 torch.float32                2.598   0.362
[8] 64 torch.float32                6.865   10.327
[8] 128 torch.float32               19.991   22.300
[8] 256 torch.float32               77.373   56.488
[16] 2 torch.float32                0.104   0.134
[16] 4 torch.float32                0.127   0.175
[16] 8 torch.float32                0.281   0.211
[16] 16 torch.float32               0.852   0.291
[16] 32 torch.float32               4.718   0.342
[16] 64 torch.float32               13.145   20.204
[16] 128 torch.float32              43.024   45.227
[32] 2 torch.float32                0.187   0.155
[32] 4 torch.float32                0.221   0.175
[32] 8 torch.float32                0.551   0.235
[32] 16 torch.float32               1.688   0.301
[32] 32 torch.float32               7.447   0.352
[32] 64 torch.float32               22.120   40.415
[64] 2 torch.float32                0.288   0.152
[64] 4 torch.float32                0.418   0.210
[64] 8 torch.float32                1.070   0.259
[64] 16 torch.float32               3.310   0.334
[64] 32 torch.float32               14.248   0.531
[128] 2 torch.float32               0.234   0.156
[128] 4 torch.float32               0.652   0.279
[128] 8 torch.float32               1.683   0.381
[128] 16 torch.float32              5.298   0.530
[256] 2 torch.float32               0.438   0.190
[256] 4 torch.float32               1.272   0.419
[256] 8 torch.float32               3.318   0.627
[512] 2 torch.float32               0.886   0.294
[512] 4 torch.float32               2.529   0.723
[1024] 2 torch.float32              1.750   0.474
