batch_size, matrix_size, dtype     cpu_time(ms), gpu_time(ms)
[] 2 torch.float32                  0.031   0.255
[] 4 torch.float32                  0.033   0.359
[] 8 torch.float32                  0.042   0.502
[] 16 torch.float32                 0.070   0.614
[] 32 torch.float32                 0.344   0.661
[] 64 torch.float32                 0.834   1.262
[] 128 torch.float32                2.537   2.959
[] 256 torch.float32                9.603   8.040
[] 512 torch.float32                40.666   23.547
[] 1024 torch.float32               177.430   98.451
[1] 2 torch.float32                 0.022   0.204
[1] 4 torch.float32                 0.025   0.341
[1] 8 torch.float32                 0.034   0.422
[1] 16 torch.float32                0.060   0.524
[1] 32 torch.float32                0.284   0.573
[1] 64 torch.float32                0.763   1.202
[1] 128 torch.float32               2.291   2.915
[1] 256 torch.float32               9.095   8.239
[1] 512 torch.float32               40.989   23.989
[1] 1024 torch.float32              171.331   99.713
[2] 2 torch.float32                 0.023   0.098
[2] 4 torch.float32                 0.030   0.156
[2] 8 torch.float32                 0.045   0.196
[2] 16 torch.float32                0.100   0.270
[2] 32 torch.float32                0.655   0.353
[2] 64 torch.float32                1.847   2.355
[2] 128 torch.float32               5.324   5.831
[2] 256 torch.float32               19.416   16.267
[2] 512 torch.float32               83.237   47.683
[2] 1024 torch.float32              340.353   195.095
[4] 2 torch.float32                 0.035   0.119
[4] 4 torch.float32                 0.052   0.178
[4] 8 torch.float32                 0.082   0.217
[4] 16 torch.float32                0.195   0.308
[4] 32 torch.float32                1.342   0.372
[4] 64 torch.float32                3.001   4.822
[4] 128 torch.float32               8.970   11.599
[4] 256 torch.float32               35.803   32.481
[4] 512 torch.float32               166.097   95.387
[8] 2 torch.float32                 0.036   0.102
[8] 4 torch.float32                 0.062   0.143
[8] 8 torch.float32                 0.122   0.229
[8] 16 torch.float32                0.357   0.276
[8] 32 torch.float32                1.807   0.356
[8] 64 torch.float32                5.193   9.322
[8] 128 torch.float32               17.559   23.425
[8] 256 torch.float32               72.513   65.086
[16] 2 torch.float32                0.050   0.101
[16] 4 torch.float32                0.096   0.160
[16] 8 torch.float32                0.217   0.201
[16] 16 torch.float32               0.686   0.281
[16] 32 torch.float32               3.774   0.355
[16] 64 torch.float32               11.338   18.709
[16] 128 torch.float32              35.313   46.196
[32] 2 torch.float32                0.075   0.118
[32] 4 torch.float32                0.176   0.160
[32] 8 torch.float32                0.431   0.201
[32] 16 torch.float32               1.336   0.283
[32] 32 torch.float32               7.446   0.364
[32] 64 torch.float32               22.531   37.525
[64] 2 torch.float32                0.124   0.127
[64] 4 torch.float32                0.328   0.201
[64] 8 torch.float32                0.849   0.250
[64] 16 torch.float32               2.669   0.325
[64] 32 torch.float32               14.634   0.536
[128] 2 torch.float32               0.226   0.151
[128] 4 torch.float32               0.633   0.286
[128] 8 torch.float32               1.645   0.390
[128] 16 torch.float32              5.304   0.542
[256] 2 torch.float32               0.438   0.195
[256] 4 torch.float32               1.243   0.423
[256] 8 torch.float32               3.286   0.632
[512] 2 torch.float32               0.846   0.301
[512] 4 torch.float32               2.455   0.730
[1024] 2 torch.float32              1.690   0.491
