batch_size, matrix_size, dtype     cpu_time(ms), gpu_time(ms)
[] 2 torch.float32                  0.022   0.223
[] 4 torch.float32                  0.026   0.377
[] 8 torch.float32                  0.032   0.465
[] 16 torch.float32                 0.061   0.526
[] 32 torch.float32                 0.323   0.571
[] 64 torch.float32                 0.799   1.220
[] 128 torch.float32                2.487   2.869
[] 256 torch.float32                9.361   8.059
[] 512 torch.float32                38.498   23.614
[] 1024 torch.float32               170.806   98.034
[1] 2 torch.float32                 0.027   0.237
[1] 4 torch.float32                 0.032   0.371
[1] 8 torch.float32                 0.040   0.459
[1] 16 torch.float32                0.067   0.501
[1] 32 torch.float32                0.325   0.610
[1] 64 torch.float32                0.855   1.274
[1] 128 torch.float32               2.515   2.991
[1] 256 torch.float32               9.068   8.292
[1] 512 torch.float32               45.912   23.259
[1] 1024 torch.float32              163.948   99.598
[2] 2 torch.float32                 0.023   0.097
[2] 4 torch.float32                 0.029   0.138
[2] 8 torch.float32                 0.044   0.196
[2] 16 torch.float32                0.100   0.269
[2] 32 torch.float32                0.582   0.343
[2] 64 torch.float32                1.610   2.196
[2] 128 torch.float32               5.134   4.445
[2] 256 torch.float32               18.681   12.715
[2] 512 torch.float32               85.792   37.874
[2] 1024 torch.float32              367.172   184.657
[4] 2 torch.float32                 0.056   0.145
[4] 4 torch.float32                 0.052   0.162
[4] 8 torch.float32                 0.087   0.213
[4] 16 torch.float32                0.226   0.294
[4] 32 torch.float32                1.374   0.368
[4] 64 torch.float32                3.687   4.615
[4] 128 torch.float32               9.874   10.514
[4] 256 torch.float32               36.585   24.986
[4] 512 torch.float32               164.234   65.710
[8] 2 torch.float32                 0.078   0.155
[8] 4 torch.float32                 0.082   0.168
[8] 8 torch.float32                 0.149   0.210
[8] 16 torch.float32                0.432   0.286
[8] 32 torch.float32                2.516   0.365
[8] 64 torch.float32                5.695   9.899
[8] 128 torch.float32               18.486   22.485
[8] 256 torch.float32               72.547   47.128
[16] 2 torch.float32                0.110   0.129
[16] 4 torch.float32                0.124   0.169
[16] 8 torch.float32                0.274   0.208
[16] 16 torch.float32               0.851   0.288
[16] 32 torch.float32               4.091   0.354
[16] 64 torch.float32               11.135   20.114
[16] 128 torch.float32              36.094   41.814
[32] 2 torch.float32                0.170   0.134
[32] 4 torch.float32                0.222   0.176
[32] 8 torch.float32                0.528   0.213
[32] 16 torch.float32               1.645   0.289
[32] 32 torch.float32               7.634   0.356
[32] 64 torch.float32               22.351   40.518
[64] 2 torch.float32                0.296   0.153
[64] 4 torch.float32                0.408   0.216
[64] 8 torch.float32                1.026   0.264
[64] 16 torch.float32               3.280   0.339
[64] 32 torch.float32               14.359   0.535
[128] 2 torch.float32               0.221   0.145
[128] 4 torch.float32               0.620   0.285
[128] 8 torch.float32               1.649   0.387
[128] 16 torch.float32              5.280   0.536
[256] 2 torch.float32               0.423   0.189
[256] 4 torch.float32               1.229   0.413
[256] 8 torch.float32               3.247   0.633
[512] 2 torch.float32               0.846   0.298
[512] 4 torch.float32               2.424   0.719
[1024] 2 torch.float32              1.628   0.495
