after
1.8.0a0+4446145

batch_size, matrix_size, dtype     cpu_time(ms), gpu_time(ms)
[] 2 torch.float32                  0.021   0.220
[] 4 torch.float32                  0.026   0.315
[] 8 torch.float32                  0.033   0.457
[] 16 torch.float32                 0.062   0.555
[] 32 torch.float32                 0.325   0.606
[] 64 torch.float32                 0.839   1.198
[] 128 torch.float32                2.491   2.914
[] 256 torch.float32                9.540   8.047
[] 512 torch.float32                40.279   23.277
[] 1024 torch.float32               206.168   99.882
[1] 2 torch.float32                 0.046   0.206
[1] 4 torch.float32                 0.025   0.309
[1] 8 torch.float32                 0.033   0.411
[1] 16 torch.float32                0.061   0.500
[1] 32 torch.float32                0.324   0.609
[1] 64 torch.float32                0.846   1.194
[1] 128 torch.float32               2.522   2.932
[1] 256 torch.float32               9.502   8.000
[1] 512 torch.float32               41.944   23.487
[1] 1024 torch.float32              175.900   99.818
[2] 2 torch.float32                 0.084   0.099
[2] 4 torch.float32                 0.031   0.143
[2] 8 torch.float32                 0.046   0.201
[2] 16 torch.float32                0.103   0.267
[2] 32 torch.float32                0.560   0.349
[2] 64 torch.float32                1.502   2.130
[2] 128 torch.float32               4.609   4.383
[2] 256 torch.float32               19.768   13.085
[2] 512 torch.float32               87.486   39.350
[2] 1024 torch.float32              360.041   188.228
[4] 2 torch.float32                 0.049   0.150
[4] 4 torch.float32                 0.138   0.188
[4] 8 torch.float32                 0.096   0.243
[4] 16 torch.float32                0.235   0.318
[4] 32 torch.float32                1.286   0.391
[4] 64 torch.float32                3.124   6.183
[4] 128 torch.float32               9.600   11.283
[4] 256 torch.float32               36.876   23.119
[4] 512 torch.float32               165.807   62.316
[8] 2 torch.float32                 0.101   0.167
[8] 4 torch.float32                 0.090   0.204
[8] 8 torch.float32                 0.167   0.243
[8] 16 torch.float32                0.442   0.318
[8] 32 torch.float32                2.530   0.390
[8] 64 torch.float32                6.251   10.615
[8] 128 torch.float32               19.600   20.001
[8] 256 torch.float32               71.616   46.465
[16] 2 torch.float32                0.111   0.154
[16] 4 torch.float32                0.142   0.176
[16] 8 torch.float32                0.279   0.213
[16] 16 torch.float32               0.835   0.296
[16] 32 torch.float32               4.637   0.400
[16] 64 torch.float32               11.074   28.344
[16] 128 torch.float32              35.543   45.345
[32] 2 torch.float32                0.173   0.169
[32] 4 torch.float32                0.233   0.178
[32] 8 torch.float32                0.535   0.214
[32] 16 torch.float32               1.653   0.294
[32] 32 torch.float32               7.776   0.361
[32] 64 torch.float32               22.345   53.428
[64] 2 torch.float32                0.301   0.149
[64] 4 torch.float32                0.411   0.220
[64] 8 torch.float32                1.037   0.265
[64] 16 torch.float32               3.279   0.343
[64] 32 torch.float32               16.499   0.538
[128] 2 torch.float32               0.219   0.151
[128] 4 torch.float32               0.624   0.286
[128] 8 torch.float32               1.650   0.386
[128] 16 torch.float32              5.288   0.548
[256] 2 torch.float32               0.414   0.189
[256] 4 torch.float32               1.231   0.427
[256] 8 torch.float32               3.255   0.636
[512] 2 torch.float32               0.806   0.284
[512] 4 torch.float32               2.441   0.734
[1024] 2 torch.float32              1.595   0.493
