after
1.8.0a0+4446145

batch_size, matrix_size, dtype     cpu_time(ms), gpu_time(ms)
[] 2 torch.float32                  0.024   0.224
[] 4 torch.float32                  0.027   0.326
[] 8 torch.float32                  0.035   0.464
[] 16 torch.float32                 0.063   0.521
[] 32 torch.float32                 0.330   0.573
[] 64 torch.float32                 0.802   1.231
[] 128 torch.float32                2.526   2.920
[] 256 torch.float32                14.391   8.222
[] 512 torch.float32                42.114   23.566
[] 1024 torch.float32               173.972   99.430
[1] 2 torch.float32                 0.021   0.212
[1] 4 torch.float32                 0.026   0.315
[1] 8 torch.float32                 0.034   0.425
[1] 16 torch.float32                0.060   0.516
[1] 32 torch.float32                0.350   0.624
[1] 64 torch.float32                0.921   1.233
[1] 128 torch.float32               2.728   3.098
[1] 256 torch.float32               9.583   8.213
[1] 512 torch.float32               40.747   23.763
[1] 1024 torch.float32              199.071   101.131
[2] 2 torch.float32                 0.022   0.097
[2] 4 torch.float32                 0.030   0.138
[2] 8 torch.float32                 0.043   0.196
[2] 16 torch.float32                0.100   0.267
[2] 32 torch.float32                0.617   0.344
[2] 64 torch.float32                1.730   2.171
[2] 128 torch.float32               5.288   4.741
[2] 256 torch.float32               19.488   12.381
[2] 512 torch.float32               81.700   38.636
[2] 1024 torch.float32              352.277   190.109
[4] 2 torch.float32                 0.056   0.156
[4] 4 torch.float32                 0.060   0.179
[4] 8 torch.float32                 0.087   0.213
[4] 16 torch.float32                0.221   0.287
[4] 32 torch.float32                1.081   0.369
[4] 64 torch.float32                2.898   4.159
[4] 128 torch.float32               8.759   9.217
[4] 256 torch.float32               35.182   23.955
[4] 512 torch.float32               161.940   79.405
[8] 2 torch.float32                 0.080   0.158
[8] 4 torch.float32                 0.092   0.209
[8] 8 torch.float32                 0.163   0.249
[8] 16 torch.float32                0.435   0.323
[8] 32 torch.float32                2.588   0.347
[8] 64 torch.float32                5.447   11.037
[8] 128 torch.float32               21.274   25.036
[8] 256 torch.float32               70.536   56.502
[16] 2 torch.float32                0.106   0.140
[16] 4 torch.float32                0.121   0.180
[16] 8 torch.float32                0.278   0.215
[16] 16 torch.float32               0.831   0.296
[16] 32 torch.float32               4.141   0.351
[16] 64 torch.float32               11.124   24.772
[16] 128 torch.float32              37.670   48.518
[32] 2 torch.float32                0.175   0.146
[32] 4 torch.float32                0.214   0.181
[32] 8 torch.float32                0.531   0.240
[32] 16 torch.float32               1.650   0.299
[32] 32 torch.float32               9.396   0.354
[32] 64 torch.float32               27.322   46.267
[64] 2 torch.float32                0.283   0.155
[64] 4 torch.float32                0.390   0.216
[64] 8 torch.float32                1.030   0.265
[64] 16 torch.float32               3.267   0.339
[64] 32 torch.float32               16.047   0.530
[128] 2 torch.float32               0.216   0.149
[128] 4 torch.float32               0.605   0.317
[128] 8 torch.float32               1.633   0.396
[128] 16 torch.float32              5.217   0.551
[256] 2 torch.float32               0.415   0.191
[256] 4 torch.float32               1.188   0.421
[256] 8 torch.float32               3.242   0.627
[512] 2 torch.float32               0.807   0.293
[512] 4 torch.float32               2.363   0.725
[1024] 2 torch.float32              1.603   0.496
