batch_size, matrix_size, dtype     cpu_time(ms), gpu_time(ms)
[] 2 torch.float32                  0.022   0.220
[] 4 torch.float32                  0.026   0.321
[] 8 torch.float32                  0.032   0.409
[] 16 torch.float32                 0.059   0.551
[] 32 torch.float32                 0.317   0.622
[] 64 torch.float32                 0.835   1.220
[] 128 torch.float32                2.407   2.877
[] 256 torch.float32                9.476   8.010
[] 512 torch.float32                43.379   23.341
[] 1024 torch.float32               207.153   100.354
[1] 2 torch.float32                 0.021   0.206
[1] 4 torch.float32                 0.024   0.316
[1] 8 torch.float32                 0.031   0.367
[1] 16 torch.float32                0.060   0.460
[1] 32 torch.float32                0.316   0.619
[1] 64 torch.float32                0.810   1.185
[1] 128 torch.float32               2.488   3.063
[1] 256 torch.float32               9.546   8.160
[1] 512 torch.float32               37.983   23.655
[1] 1024 torch.float32              199.670   99.615
[2] 2 torch.float32                 0.024   0.096
[2] 4 torch.float32                 0.077   0.154
[2] 8 torch.float32                 0.042   0.194
[2] 16 torch.float32                0.102   0.267
[2] 32 torch.float32                0.590   0.342
[2] 64 torch.float32                1.603   2.268
[2] 128 torch.float32               4.935   4.500
[2] 256 torch.float32               19.460   11.440
[2] 512 torch.float32               79.946   39.710
[2] 1024 torch.float32              337.937   184.383
[4] 2 torch.float32                 0.059   0.140
[4] 4 torch.float32                 0.120   0.177
[4] 8 torch.float32                 0.087   0.211
[4] 16 torch.float32                0.228   0.294
[4] 32 torch.float32                1.311   0.368
[4] 64 torch.float32                3.439   5.146
[4] 128 torch.float32               11.218   11.414
[4] 256 torch.float32               36.372   25.910
[4] 512 torch.float32               161.724   64.873
[8] 2 torch.float32                 0.079   0.147
[8] 4 torch.float32                 0.082   0.177
[8] 8 torch.float32                 0.147   0.212
[8] 16 torch.float32                0.423   0.294
[8] 32 torch.float32                2.595   0.369
[8] 64 torch.float32                6.823   10.533
[8] 128 torch.float32               20.763   20.827
[8] 256 torch.float32               71.869   53.804
[16] 2 torch.float32                0.115   0.148
[16] 4 torch.float32                0.122   0.171
[16] 8 torch.float32                0.276   0.209
[16] 16 torch.float32               0.840   0.282
[16] 32 torch.float32               4.213   0.365
[16] 64 torch.float32               11.011   21.956
[16] 128 torch.float32              35.763   39.404
[32] 2 torch.float32                0.180   0.148
[32] 4 torch.float32                0.218   0.179
[32] 8 torch.float32                0.521   0.217
[32] 16 torch.float32               1.634   0.295
[32] 32 torch.float32               8.182   0.353
[32] 64 torch.float32               22.175   38.209
[64] 2 torch.float32                0.124   0.109
[64] 4 torch.float32                0.323   0.190
[64] 8 torch.float32                0.845   0.245
[64] 16 torch.float32               2.754   0.323
[64] 32 torch.float32               15.592   0.540
[128] 2 torch.float32               0.236   0.145
[128] 4 torch.float32               0.626   0.290
[128] 8 torch.float32               1.683   0.391
[128] 16 torch.float32              5.429   0.533
[256] 2 torch.float32               0.424   0.209
[256] 4 torch.float32               1.217   0.419
[256] 8 torch.float32               3.265   0.631
[512] 2 torch.float32               0.821   0.302
[512] 4 torch.float32               2.494   0.737
[1024] 2 torch.float32              1.622   0.501
