batch_size, matrix_size, dtype     cpu_time(ms), gpu_time(ms)
[] 2 torch.float32                  0.022   0.215
[] 4 torch.float32                  0.025   0.312
[] 8 torch.float32                  0.033   0.452
[] 16 torch.float32                 0.061   0.464
[] 32 torch.float32                 0.336   0.613
[] 64 torch.float32                 0.797   1.205
[] 128 torch.float32                2.534   2.940
[] 256 torch.float32                9.501   7.912
[] 512 torch.float32                39.807   22.941
[] 1024 torch.float32               165.816   99.649
[1] 2 torch.float32                 0.061   0.201
[1] 4 torch.float32                 0.025   0.309
[1] 8 torch.float32                 0.032   0.411
[1] 16 torch.float32                0.062   0.504
[1] 32 torch.float32                0.274   0.611
[1] 64 torch.float32                0.753   1.213
[1] 128 torch.float32               2.238   2.901
[1] 256 torch.float32               8.827   8.111
[1] 512 torch.float32               39.008   23.375
[1] 1024 torch.float32              161.915   98.094
[2] 2 torch.float32                 0.050   0.316
[2] 4 torch.float32                 0.030   0.531
[2] 8 torch.float32                 0.045   0.686
[2] 16 torch.float32                0.104   0.935
[2] 32 torch.float32                0.522   1.137
[2] 64 torch.float32                1.462   2.325
[2] 128 torch.float32               4.414   5.814
[2] 256 torch.float32               17.416   15.998
[2] 512 torch.float32               78.098   46.597
[2] 1024 torch.float32              323.558   196.642
[4] 2 torch.float32                 0.026   0.548
[4] 4 torch.float32                 0.039   1.030
[4] 8 torch.float32                 0.071   1.245
[4] 16 torch.float32                0.189   1.769
[4] 32 torch.float32                1.098   2.205
[4] 64 torch.float32                3.109   4.545
[4] 128 torch.float32               9.785   11.562
[4] 256 torch.float32               38.647   32.560
[4] 512 torch.float32               154.433   93.996
[8] 2 torch.float32                 0.032   0.988
[8] 4 torch.float32                 0.060   1.900
[8] 8 torch.float32                 0.123   2.628
[8] 16 torch.float32                0.359   3.385
[8] 32 torch.float32                1.863   4.233
[8] 64 torch.float32                5.647   9.108
[8] 128 torch.float32               17.268   23.154
[8] 256 torch.float32               69.742   64.568
[16] 2 torch.float32                0.046   1.884
[16] 4 torch.float32                0.096   3.793
[16] 8 torch.float32                0.224   5.057
[16] 16 torch.float32               0.696   6.664
[16] 32 torch.float32               3.663   8.225
[16] 64 torch.float32               11.083   17.867
[16] 128 torch.float32              33.872   45.664
[32] 2 torch.float32                0.071   3.669
[32] 4 torch.float32                0.173   7.309
[32] 8 torch.float32                0.422   10.198
[32] 16 torch.float32               1.343   13.252
[32] 32 torch.float32               7.304   16.419
[32] 64 torch.float32               21.832   35.681
[64] 2 torch.float32                0.124   7.292
[64] 4 torch.float32                0.326   14.703
[64] 8 torch.float32                0.869   20.017
[64] 16 torch.float32               2.679   26.501
[64] 32 torch.float32               14.498   33.202
[128] 2 torch.float32               0.229   14.582
[128] 4 torch.float32               0.628   29.967
[128] 8 torch.float32               1.644   39.732
[128] 16 torch.float32              5.283   52.256
[256] 2 torch.float32               0.442   28.889
[256] 4 torch.float32               1.234   59.414
[256] 8 torch.float32               3.282   79.853
[512] 2 torch.float32               0.854   57.562
[512] 4 torch.float32               2.471   118.540
[1024] 2 torch.float32              1.697   115.037
