batch_size, matrix_size, dtype     cpu_time(ms), gpu_time(ms)
[] 2 torch.float32                  0.023   1.624
[] 4 torch.float32                  0.025   1.381
[] 8 torch.float32                  0.032   1.364
[] 16 torch.float32                 0.063   1.429
[] 32 torch.float32                 0.376   2.244
[] 64 torch.float32                 0.833   2.268
[] 128 torch.float32                2.244   8.966
[] 256 torch.float32                9.022   28.048
[] 512 torch.float32                43.124   71.162
[] 1024 torch.float32               186.329   273.447
[1] 2 torch.float32                 0.031   1.942
[1] 4 torch.float32                 0.072   2.317
[1] 8 torch.float32                 0.081   2.272
[1] 16 torch.float32                0.136   1.607
[1] 32 torch.float32                0.330   2.372
[1] 64 torch.float32                0.835   2.815
[1] 128 torch.float32               2.576   9.200
[1] 256 torch.float32               10.013   29.403
[1] 512 torch.float32               38.669   75.919
[1] 1024 torch.float32              177.442   242.375
[2] 2 torch.float32                 0.026   3.358
[2] 4 torch.float32                 0.051   2.935
[2] 8 torch.float32                 0.045   2.935
[2] 16 torch.float32                0.100   3.027
[2] 32 torch.float32                0.591   4.691
[2] 64 torch.float32                1.565   5.471
[2] 128 torch.float32               4.956   17.448
[2] 256 torch.float32               17.067   54.771
[2] 512 torch.float32               78.542   145.471
[2] 1024 torch.float32              348.320   494.471
[4] 2 torch.float32                 0.029   5.619
[4] 4 torch.float32                 0.044   5.669
[4] 8 torch.float32                 0.072   5.727
[4] 16 torch.float32                0.180   5.936
[4] 32 torch.float32                1.089   9.218
[4] 64 torch.float32                3.078   9.099
[4] 128 torch.float32               8.622   36.183
[4] 256 torch.float32               34.341   114.162
[4] 512 torch.float32               171.762   280.715
[8] 2 torch.float32                 0.039   11.721
[8] 4 torch.float32                 0.062   11.661
[8] 8 torch.float32                 0.120   11.655
[8] 16 torch.float32                0.341   11.931
[8] 32 torch.float32                2.113   15.173
[8] 64 torch.float32                5.607   19.499
[8] 128 torch.float32               17.951   70.354
[8] 256 torch.float32               75.706   234.389
[16] 2 torch.float32                0.051   22.706
[16] 4 torch.float32                0.102   22.740
[16] 8 torch.float32                0.220   22.971
[16] 16 torch.float32               0.687   23.412
[16] 32 torch.float32               4.072   29.633
[16] 64 torch.float32               11.144   40.003
[16] 128 torch.float32              35.261   138.227
[32] 2 torch.float32                0.074   45.338
[32] 4 torch.float32                0.179   45.438
[32] 8 torch.float32                0.421   47.594
[32] 16 torch.float32               1.368   48.721
[32] 32 torch.float32               6.992   61.844
[32] 64 torch.float32               21.584   78.596
[64] 2 torch.float32                0.129   92.296
[64] 4 torch.float32                0.331   91.349
[64] 8 torch.float32                0.825   93.665
[64] 16 torch.float32               2.654   95.347
[64] 32 torch.float32               18.315   122.030
[128] 2 torch.float32               0.237   186.144
[128] 4 torch.float32               0.629   186.209
[128] 8 torch.float32               1.645   184.716
[128] 16 torch.float32              5.238   191.366
[256] 2 torch.float32               0.446   361.648
[256] 4 torch.float32               1.237   371.878
[256] 8 torch.float32               3.273   365.996
[512] 2 torch.float32               0.857   737.991
[512] 4 torch.float32               2.442   738.817
[1024] 2 torch.float32              1.716   1475.765
