batch_size, matrix_size, dtype     cpu_time(ms), gpu_time(ms)
[] 2 torch.float32                  0.024   0.227
[] 4 torch.float32                  0.029   0.344
[] 8 torch.float32                  0.035   0.459
[] 16 torch.float32                 0.060   0.596
[] 32 torch.float32                 0.411   0.721
[] 64 torch.float32                 0.902   1.398
[] 128 torch.float32                2.678   3.417
[] 256 torch.float32                11.315   9.262
[] 512 torch.float32                56.690   25.247
[] 1024 torch.float32               177.813   94.387
[1] 2 torch.float32                 0.022   0.221
[1] 4 torch.float32                 0.066   0.389
[1] 8 torch.float32                 0.034   0.453
[1] 16 torch.float32                0.059   0.591
[1] 32 torch.float32                0.346   0.651
[1] 64 torch.float32                0.891   1.397
[1] 128 torch.float32               2.653   3.302
[1] 256 torch.float32               11.052   9.143
[1] 512 torch.float32               54.067   25.558
[1] 1024 torch.float32              171.607   91.174
[2] 2 torch.float32                 0.028   0.092
[2] 4 torch.float32                 0.032   0.149
[2] 8 torch.float32                 0.047   0.197
[2] 16 torch.float32                0.095   0.288
[2] 32 torch.float32                0.742   0.387
[2] 64 torch.float32                2.103   2.540
[2] 128 torch.float32               6.142   5.559
[2] 256 torch.float32               20.612   13.529
[2] 512 torch.float32               105.574   35.459
[2] 1024 torch.float32              362.996   131.863
[4] 2 torch.float32                 0.031   0.099
[4] 4 torch.float32                 0.043   0.136
[4] 8 torch.float32                 0.069   0.202
[4] 16 torch.float32                0.164   0.282
[4] 32 torch.float32                1.149   0.389
[4] 64 torch.float32                3.224   4.289
[4] 128 torch.float32               9.824   9.259
[4] 256 torch.float32               52.468   25.045
[4] 512 torch.float32               236.845   66.194
[8] 2 torch.float32                 0.033   0.092
[8] 4 torch.float32                 0.058   0.149
[8] 8 torch.float32                 0.112   0.197
[8] 16 torch.float32                0.314   0.290
[8] 32 torch.float32                2.295   0.387
[8] 64 torch.float32                6.490   7.556
[8] 128 torch.float32               20.152   17.071
[8] 256 torch.float32               82.534   40.012
[16] 2 torch.float32                0.045   0.092
[16] 4 torch.float32                0.091   0.152
[16] 8 torch.float32                0.205   0.195
[16] 16 torch.float32               0.594   0.294
[16] 32 torch.float32               4.552   0.383
[16] 64 torch.float32               12.804   13.520
[16] 128 torch.float32              39.746   24.969
[32] 2 torch.float32                0.071   0.110
[32] 4 torch.float32                0.162   0.154
[32] 8 torch.float32                0.386   0.195
[32] 16 torch.float32               1.171   0.293
[32] 32 torch.float32               9.143   0.385
[32] 64 torch.float32               24.910   29.575
[64] 2 torch.float32                0.118   0.111
[64] 4 torch.float32                0.310   0.158
[64] 8 torch.float32                0.756   0.200
[64] 16 torch.float32               2.339   0.298
[64] 32 torch.float32               18.067   0.388
[128] 2 torch.float32               0.210   0.118
[128] 4 torch.float32               0.582   0.175
[128] 8 torch.float32               1.499   0.226
[128] 16 torch.float32              4.625   0.323
[256] 2 torch.float32               0.399   0.141
[256] 4 torch.float32               1.131   0.246
[256] 8 torch.float32               2.905   0.363
[512] 2 torch.float32               0.774   0.175
[512] 4 torch.float32               2.266   0.391
[1024] 2 torch.float32              1.529   0.256
