after
1.8.0a0+1606899

batch_size, matrix_size, dtype     cpu_time(ms), gpu_time(ms)
[] 2 torch.float32                  0.019   0.223
[] 4 torch.float32                  0.025   0.337
[] 8 torch.float32                  0.032   0.444
[] 16 torch.float32                 0.056   0.577
[] 32 torch.float32                 0.193   0.686
[] 64 torch.float32                 0.447   1.417
[] 128 torch.float32                1.524   3.413
[] 256 torch.float32                6.275   9.138
[] 512 torch.float32                27.497   25.588
[] 1024 torch.float32               138.387   90.484
[1] 2 torch.float32                 0.021   0.206
[1] 4 torch.float32                 0.024   0.377
[1] 8 torch.float32                 0.032   0.382
[1] 16 torch.float32                0.056   0.569
[1] 32 torch.float32                0.171   0.693
[1] 64 torch.float32                0.450   1.366
[1] 128 torch.float32               1.514   3.305
[1] 256 torch.float32               6.199   9.023
[1] 512 torch.float32               27.440   25.380
[1] 1024 torch.float32              134.173   90.867
[2] 2 torch.float32                 0.021   0.091
[2] 4 torch.float32                 0.030   0.132
[2] 8 torch.float32                 0.043   0.190
[2] 16 torch.float32                0.087   0.283
[2] 32 torch.float32                0.306   0.362
[2] 64 torch.float32                0.858   1.928
[2] 128 torch.float32               2.990   4.324
[2] 256 torch.float32               12.419   11.325
[2] 512 torch.float32               55.592   32.993
[2] 1024 torch.float32              274.621   130.100
[4] 2 torch.float32                 0.024   0.091
[4] 4 torch.float32                 0.039   0.149
[4] 8 torch.float32                 0.069   0.189
[4] 16 torch.float32                0.164   0.280
[4] 32 torch.float32                0.585   0.378
[4] 64 torch.float32                1.692   3.649
[4] 128 torch.float32               5.915   9.140
[4] 256 torch.float32               24.886   22.208
[4] 512 torch.float32               110.763   65.715
[8] 2 torch.float32                 0.031   0.092
[8] 4 torch.float32                 0.057   0.150
[8] 8 torch.float32                 0.116   0.191
[8] 16 torch.float32                0.302   0.282
[8] 32 torch.float32                1.136   0.380
[8] 64 torch.float32                3.372   6.117
[8] 128 torch.float32               11.600   13.779
[8] 256 torch.float32               49.741   37.122
[16] 2 torch.float32                0.046   0.093
[16] 4 torch.float32                0.094   0.149
[16] 8 torch.float32                0.204   0.193
[16] 16 torch.float32               0.595   0.290
[16] 32 torch.float32               2.206   0.380
[16] 64 torch.float32               6.614   10.027
[16] 128 torch.float32              23.210   20.302
[32] 2 torch.float32                0.065   0.109
[32] 4 torch.float32                0.162   0.150
[32] 8 torch.float32                0.402   0.193
[32] 16 torch.float32               1.142   0.281
[32] 32 torch.float32               4.386   0.380
[32] 64 torch.float32               13.108   19.829
[64] 2 torch.float32                0.125   0.109
[64] 4 torch.float32                0.307   0.150
[64] 8 torch.float32                0.777   0.198
[64] 16 torch.float32               2.293   0.289
[64] 32 torch.float32               8.649   0.381
[128] 2 torch.float32               0.195   0.110
[128] 4 torch.float32               0.586   0.166
[128] 8 torch.float32               1.517   0.217
[128] 16 torch.float32              4.549   0.322
[256] 2 torch.float32               0.377   0.143
[256] 4 torch.float32               1.167   0.241
[256] 8 torch.float32               3.019   0.368
[512] 2 torch.float32               0.729   0.170
[512] 4 torch.float32               2.298   0.381
[1024] 2 torch.float32              1.418   0.259
