after
1.8.0a0+4446145

batch_size, matrix_size, dtype     cpu_time(ms), gpu_time(ms)
[] 2 torch.float32                  0.023   0.221
[] 4 torch.float32                  0.025   0.321
[] 8 torch.float32                  0.032   0.465
[] 16 torch.float32                 0.060   0.559
[] 32 torch.float32                 0.331   0.619
[] 64 torch.float32                 0.850   1.230
[] 128 torch.float32                2.469   3.086
[] 256 torch.float32                9.635   8.028
[] 512 torch.float32                41.229   23.158
[] 1024 torch.float32               199.660   100.638
[1] 2 torch.float32                 0.020   0.207
[1] 4 torch.float32                 0.024   0.307
[1] 8 torch.float32                 0.032   0.418
[1] 16 torch.float32                0.067   0.520
[1] 32 torch.float32                0.345   0.629
[1] 64 torch.float32                0.873   1.221
[1] 128 torch.float32               2.621   3.022
[1] 256 torch.float32               9.804   8.223
[1] 512 torch.float32               41.589   23.366
[1] 1024 torch.float32              173.880   99.547
[2] 2 torch.float32                 0.029   0.113
[2] 4 torch.float32                 0.039   0.171
[2] 8 torch.float32                 0.056   0.212
[2] 16 torch.float32                0.112   0.287
[2] 32 torch.float32                0.672   0.368
[2] 64 torch.float32                1.827   2.114
[2] 128 torch.float32               4.492   4.755
[2] 256 torch.float32               18.531   12.724
[2] 512 torch.float32               82.484   41.570
[2] 1024 torch.float32              357.361   177.532
[4] 2 torch.float32                 0.027   0.099
[4] 4 torch.float32                 0.043   0.160
[4] 8 torch.float32                 0.075   0.196
[4] 16 torch.float32                0.186   0.270
[4] 32 torch.float32                1.045   0.351
[4] 64 torch.float32                2.795   4.121
[4] 128 torch.float32               9.434   10.900
[4] 256 torch.float32               36.411   24.654
[4] 512 torch.float32               167.765   68.167
[8] 2 torch.float32                 0.042   0.123
[8] 4 torch.float32                 0.077   0.174
[8] 8 torch.float32                 0.155   0.214
[8] 16 torch.float32                0.442   0.286
[8] 32 torch.float32                2.162   0.363
[8] 64 torch.float32                5.826   11.020
[8] 128 torch.float32               18.769   19.595
[8] 256 torch.float32               72.399   48.875
[16] 2 torch.float32                0.110   0.141
[16] 4 torch.float32                0.141   0.164
[16] 8 torch.float32                0.286   0.206
[16] 16 torch.float32               0.848   0.288
[16] 32 torch.float32               3.912   0.365
[16] 64 torch.float32               10.967   25.094
[16] 128 torch.float32              35.232   47.188
[32] 2 torch.float32                0.174   0.174
[32] 4 torch.float32                0.236   0.176
[32] 8 torch.float32                0.542   0.216
[32] 16 torch.float32               1.691   0.290
[32] 32 torch.float32               9.418   0.361
[32] 64 torch.float32               22.206   53.432
[64] 2 torch.float32                0.388   0.175
[64] 4 torch.float32                0.496   0.247
[64] 8 torch.float32                1.144   0.287
[64] 16 torch.float32               3.436   0.340
[64] 32 torch.float32               14.735   0.550
[128] 2 torch.float32               0.285   0.175
[128] 4 torch.float32               0.758   0.333
[128] 8 torch.float32               1.809   0.459
[128] 16 torch.float32              5.539   0.636
[256] 2 torch.float32               0.549   0.222
[256] 4 torch.float32               1.501   0.495
[256] 8 torch.float32               3.633   0.705
[512] 2 torch.float32               1.083   0.334
[512] 4 torch.float32               2.932   0.810
[1024] 2 torch.float32              2.140   0.527
