after
1.8.0a0+4446145

batch_size, matrix_size, dtype     cpu_time(ms), gpu_time(ms)
[] 2 torch.float32                  0.032   0.254
[] 4 torch.float32                  0.037   0.358
[] 8 torch.float32                  0.045   0.500
[] 16 torch.float32                 0.073   0.547
[] 32 torch.float32                 0.348   0.655
[] 64 torch.float32                 0.833   1.314
[] 128 torch.float32                2.235   3.087
[] 256 torch.float32                9.664   7.969
[] 512 torch.float32                41.640   23.398
[] 1024 torch.float32               214.689   99.426
[1] 2 torch.float32                 0.050   0.206
[1] 4 torch.float32                 0.027   0.310
[1] 8 torch.float32                 0.036   0.367
[1] 16 torch.float32                0.062   0.459
[1] 32 torch.float32                0.344   0.626
[1] 64 torch.float32                0.873   1.185
[1] 128 torch.float32               2.584   2.923
[1] 256 torch.float32               9.858   8.054
[1] 512 torch.float32               41.549   23.809
[1] 1024 torch.float32              193.153   100.132
[2] 2 torch.float32                 0.025   0.097
[2] 4 torch.float32                 0.061   0.139
[2] 8 torch.float32                 0.048   0.196
[2] 16 torch.float32                0.110   0.271
[2] 32 torch.float32                0.632   0.345
[2] 64 torch.float32                1.693   2.282
[2] 128 torch.float32               5.253   5.020
[2] 256 torch.float32               18.604   12.779
[2] 512 torch.float32               84.316   39.000
[2] 1024 torch.float32              374.325   180.718
[4] 2 torch.float32                 0.114   0.133
[4] 4 torch.float32                 0.057   0.163
[4] 8 torch.float32                 0.091   0.217
[4] 16 torch.float32                0.240   0.291
[4] 32 torch.float32                1.359   0.373
[4] 64 torch.float32                3.487   4.433
[4] 128 torch.float32               10.381   9.724
[4] 256 torch.float32               35.437   24.481
[4] 512 torch.float32               173.450   74.512
[8] 2 torch.float32                 0.102   0.128
[8] 4 torch.float32                 0.079   0.177
[8] 8 torch.float32                 0.157   0.217
[8] 16 torch.float32                0.451   0.291
[8] 32 torch.float32                2.401   0.368
[8] 64 torch.float32                5.914   12.480
[8] 128 torch.float32               19.607   23.160
[8] 256 torch.float32               74.291   49.235
[16] 2 torch.float32                0.116   0.133
[16] 4 torch.float32                0.129   0.170
[16] 8 torch.float32                0.285   0.211
[16] 16 torch.float32               0.858   0.292
[16] 32 torch.float32               4.233   0.366
[16] 64 torch.float32               11.366   21.845
[16] 128 torch.float32              43.459   46.719
[32] 2 torch.float32                0.188   0.159
[32] 4 torch.float32                0.224   0.181
[32] 8 torch.float32                0.551   0.218
[32] 16 torch.float32               1.695   0.295
[32] 32 torch.float32               7.916   0.355
[32] 64 torch.float32               22.268   36.802
[64] 2 torch.float32                0.291   0.128
[64] 4 torch.float32                0.412   0.218
[64] 8 torch.float32                1.053   0.267
[64] 16 torch.float32               3.361   0.341
[64] 32 torch.float32               18.394   0.531
[128] 2 torch.float32               0.239   0.151
[128] 4 torch.float32               0.640   0.300
[128] 8 torch.float32               1.685   0.405
[128] 16 torch.float32              5.411   0.568
[256] 2 torch.float32               0.450   0.190
[256] 4 torch.float32               1.264   0.433
[256] 8 torch.float32               3.372   0.635
[512] 2 torch.float32               0.886   0.299
[512] 4 torch.float32               2.500   0.727
[1024] 2 torch.float32              1.754   0.481
