after
1.8.0a0+4446145

batch_size, matrix_size, dtype     cpu_time(ms), gpu_time(ms)
[] 2 torch.float32                  0.025   0.220
[] 4 torch.float32                  0.029   0.318
[] 8 torch.float32                  0.035   0.456
[] 16 torch.float32                 0.066   0.527
[] 32 torch.float32                 0.346   0.623
[] 64 torch.float32                 0.821   1.212
[] 128 torch.float32                2.512   2.935
[] 256 torch.float32                8.775   7.940
[] 512 torch.float32                41.372   22.803
[] 1024 torch.float32               177.184   99.470
[1] 2 torch.float32                 0.022   0.206
[1] 4 torch.float32                 0.028   0.356
[1] 8 torch.float32                 0.037   0.416
[1] 16 torch.float32                0.067   0.457
[1] 32 torch.float32                0.306   0.566
[1] 64 torch.float32                0.795   1.227
[1] 128 torch.float32               2.299   2.902
[1] 256 torch.float32               9.054   8.117
[1] 512 torch.float32               42.277   23.645
[1] 1024 torch.float32              171.986   98.492
[2] 2 torch.float32                 0.025   0.097
[2] 4 torch.float32                 0.032   0.156
[2] 8 torch.float32                 0.049   0.195
[2] 16 torch.float32                0.107   0.269
[2] 32 torch.float32                0.673   0.342
[2] 64 torch.float32                1.856   2.029
[2] 128 torch.float32               4.892   4.484
[2] 256 torch.float32               18.603   12.688
[2] 512 torch.float32               88.926   40.839
[2] 1024 torch.float32              345.705   181.870
[4] 2 torch.float32                 0.058   0.120
[4] 4 torch.float32                 0.052   0.146
[4] 8 torch.float32                 0.087   0.207
[4] 16 torch.float32                0.233   0.286
[4] 32 torch.float32                1.135   0.364
[4] 64 torch.float32                3.073   6.014
[4] 128 torch.float32               9.375   11.462
[4] 256 torch.float32               36.053   25.235
[4] 512 torch.float32               164.454   76.160
[8] 2 torch.float32                 0.081   0.141
[8] 4 torch.float32                 0.096   0.168
[8] 8 torch.float32                 0.155   0.209
[8] 16 torch.float32                0.431   0.283
[8] 32 torch.float32                2.679   0.358
[8] 64 torch.float32                7.015   11.788
[8] 128 torch.float32               19.338   22.435
[8] 256 torch.float32               80.263   47.108
[16] 2 torch.float32                0.120   0.176
[16] 4 torch.float32                0.138   0.180
[16] 8 torch.float32                0.279   0.213
[16] 16 torch.float32               0.856   0.289
[16] 32 torch.float32               4.995   0.351
[16] 64 torch.float32               13.992   20.571
[16] 128 torch.float32              36.022   45.084
[32] 2 torch.float32                0.186   0.147
[32] 4 torch.float32                0.232   0.175
[32] 8 torch.float32                0.542   0.216
[32] 16 torch.float32               1.688   0.290
[32] 32 torch.float32               7.839   0.348
[32] 64 torch.float32               22.182   42.843
[64] 2 torch.float32                0.315   0.162
[64] 4 torch.float32                0.421   0.212
[64] 8 torch.float32                1.071   0.261
[64] 16 torch.float32               3.368   0.336
[64] 32 torch.float32               14.702   0.530
[128] 2 torch.float32               0.228   0.159
[128] 4 torch.float32               0.638   0.286
[128] 8 torch.float32               1.702   0.384
[128] 16 torch.float32              5.424   0.532
[256] 2 torch.float32               0.438   0.193
[256] 4 torch.float32               1.264   0.417
[256] 8 torch.float32               3.366   0.633
[512] 2 torch.float32               0.853   0.288
[512] 4 torch.float32               2.494   0.721
[1024] 2 torch.float32              1.668   0.485
