batch_size, matrix_size, dtype     cpu_time(ms), gpu_time(ms)
[] 2 torch.float32                  0.024   0.206
[] 4 torch.float32                  0.026   0.299
[] 8 torch.float32                  0.033   0.453
[] 16 torch.float32                 0.060   0.778
[] 32 torch.float32                 0.320   1.493
[] 64 torch.float32                 0.793   3.543
[] 128 torch.float32                2.453   8.623
[] 256 torch.float32                9.060   25.734
[] 512 torch.float32                39.769   102.131
[] 1024 torch.float32               206.295   579.854
[1] 2 torch.float32                 0.028   0.231
[1] 4 torch.float32                 0.034   0.335
[1] 8 torch.float32                 0.041   0.507
[1] 16 torch.float32                0.068   0.874
[1] 32 torch.float32                0.288   1.632
[1] 64 torch.float32                0.759   3.732
[1] 128 torch.float32               2.208   9.064
[1] 256 torch.float32               8.437   26.150
[1] 512 torch.float32               40.877   102.661
[1] 1024 torch.float32              163.326   582.987
[2] 2 torch.float32                 0.023   0.322
[2] 4 torch.float32                 0.032   0.497
[2] 8 torch.float32                 0.045   0.804
[2] 16 torch.float32                0.100   1.472
[2] 32 torch.float32                0.643   2.862
[2] 64 torch.float32                1.806   6.917
[2] 128 torch.float32               5.286   17.218
[2] 256 torch.float32               18.833   50.414
[2] 512 torch.float32               79.821   200.012
[2] 1024 torch.float32              325.004   1162.145
[4] 2 torch.float32                 0.026   0.546
[4] 4 torch.float32                 0.042   0.939
[4] 8 torch.float32                 0.071   1.575
[4] 16 torch.float32                0.182   2.873
[4] 32 torch.float32                0.978   5.634
[4] 64 torch.float32                2.858   13.716
[4] 128 torch.float32               8.615   34.052
[4] 256 torch.float32               34.624   100.016
[4] 512 torch.float32               158.272   394.425
[8] 2 torch.float32                 0.036   1.036
[8] 4 torch.float32                 0.061   1.745
[8] 8 torch.float32                 0.120   3.071
[8] 16 torch.float32                0.352   5.755
[8] 32 torch.float32                1.774   11.331
[8] 64 torch.float32                5.209   27.344
[8] 128 torch.float32               17.071   67.321
[8] 256 torch.float32               72.208   200.375
[16] 2 torch.float32                0.047   1.945
[16] 4 torch.float32                0.094   3.349
[16] 8 torch.float32                0.217   5.863
[16] 16 torch.float32               0.673   11.126
[16] 32 torch.float32               3.611   22.174
[16] 64 torch.float32               11.015   53.875
[16] 128 torch.float32              34.607   134.162
[32] 2 torch.float32                0.073   3.819
[32] 4 torch.float32                0.171   6.822
[32] 8 torch.float32                0.425   11.824
[32] 16 torch.float32               1.322   22.410
[32] 32 torch.float32               7.194   44.549
[32] 64 torch.float32               22.145   107.863
[64] 2 torch.float32                0.122   7.515
[64] 4 torch.float32                0.324   13.519
[64] 8 torch.float32                0.823   23.592
[64] 16 torch.float32               2.631   44.793
[64] 32 torch.float32               14.230   89.137
[128] 2 torch.float32               0.224   15.096
[128] 4 torch.float32               0.623   26.771
[128] 8 torch.float32               1.650   47.386
[128] 16 torch.float32              5.284   89.578
[256] 2 torch.float32               0.430   29.828
[256] 4 torch.float32               1.221   53.513
[256] 8 torch.float32               3.275   94.705
[512] 2 torch.float32               0.830   59.543
[512] 4 torch.float32               2.406   106.619
[1024] 2 torch.float32              1.640   119.638
